geofips,geoname,year,personal_income_kusd
01001,"Autauga, AL",2019,2477876.0
01001,"Autauga, AL",2020,2656173.0
01001,"Autauga, AL",2021,2915364.0
01001,"Autauga, AL",2022,2979576.0
01001,"Autauga, AL",2023,3202452.0
01001,"Autauga, AL",2024,3424189.0
01003,"Baldwin, AL",2019,10880888.0
01003,"Baldwin, AL",2020,11880306.0
01003,"Baldwin, AL",2021,13527772.0
01003,"Baldwin, AL",2022,14232715.0
01003,"Baldwin, AL",2023,15590410.0
01003,"Baldwin, AL",2024,16718173.0
01005,"Barbour, AL",2019,873849.0
01005,"Barbour, AL",2020,926313.0
01005,"Barbour, AL",2021,1006722.0
01005,"Barbour, AL",2022,1014902.0
01005,"Barbour, AL",2023,1033178.0
01005,"Barbour, AL",2024,1093828.0
01007,"Bibb, AL",2019,719343.0
01007,"Bibb, AL",2020,773029.0
01007,"Bibb, AL",2021,836565.0
01007,"Bibb, AL",2022,840465.0
01007,"Bibb, AL",2023,886174.0
01007,"Bibb, AL",2024,933750.0
01009,"Blount, AL",2019,2154822.0
01009,"Blount, AL",2020,2233724.0
01009,"Blount, AL",2021,2542812.0
01009,"Blount, AL",2022,2622662.0
01009,"Blount, AL",2023,2741524.0
01009,"Blount, AL",2024,2920472.0
01011,"Bullock, AL",2019,283392.0
01011,"Bullock, AL",2020,314807.0
01011,"Bullock, AL",2021,346534.0
01011,"Bullock, AL",2022,340468.0
01011,"Bullock, AL",2023,367110.0
01011,"Bullock, AL",2024,390130.0
01013,"Butler, AL",2019,719572.0
01013,"Butler, AL",2020,751954.0
01013,"Butler, AL",2021,860202.0
01013,"Butler, AL",2022,886414.0
01013,"Butler, AL",2023,920985.0
01013,"Butler, AL",2024,973413.0
01015,"Calhoun, AL",2019,4286419.0
01015,"Calhoun, AL",2020,4602650.0
01015,"Calhoun, AL",2021,5009194.0
01015,"Calhoun, AL",2022,4940395.0
01015,"Calhoun, AL",2023,5234603.0
01015,"Calhoun, AL",2024,5510858.0
01017,"Chambers, AL",2019,1170886.0
01017,"Chambers, AL",2020,1247507.0
01017,"Chambers, AL",2021,1356542.0
01017,"Chambers, AL",2022,1348988.0
01017,"Chambers, AL",2023,1423571.0
01017,"Chambers, AL",2024,1485872.0
01019,"Cherokee, AL",2019,947492.0
01019,"Cherokee, AL",2020,997447.0
01019,"Cherokee, AL",2021,1120262.0
01019,"Cherokee, AL",2022,1128670.0
01019,"Cherokee, AL",2023,1172249.0
01019,"Cherokee, AL",2024,1254466.0
01021,"Chilton, AL",2019,1624844.0
01021,"Chilton, AL",2020,1727362.0
01021,"Chilton, AL",2021,1941956.0
01021,"Chilton, AL",2022,1991699.0
01021,"Chilton, AL",2023,2129778.0
01021,"Chilton, AL",2024,2277237.0
01023,"Choctaw, AL",2019,490796.0
01023,"Choctaw, AL",2020,511422.0
01023,"Choctaw, AL",2021,548411.0
01023,"Choctaw, AL",2022,537694.0
01023,"Choctaw, AL",2023,560070.0
01023,"Choctaw, AL",2024,592372.0
01025,"Clarke, AL",2019,879437.0
01025,"Clarke, AL",2020,948149.0
01025,"Clarke, AL",2021,1027120.0
01025,"Clarke, AL",2022,1004188.0
01025,"Clarke, AL",2023,1047675.0
01025,"Clarke, AL",2024,1098412.0
01027,"Clay, AL",2019,456157.0
01027,"Clay, AL",2020,497846.0
01027,"Clay, AL",2021,560519.0
01027,"Clay, AL",2022,561051.0
01027,"Clay, AL",2023,560898.0
01027,"Clay, AL",2024,600339.0
01029,"Cleburne, AL",2019,541180.0
01029,"Cleburne, AL",2020,570721.0
01029,"Cleburne, AL",2021,651025.0
01029,"Cleburne, AL",2022,681131.0
01029,"Cleburne, AL",2023,707178.0
01029,"Cleburne, AL",2024,751089.0
01031,"Coffee, AL",2019,2266045.0
01031,"Coffee, AL",2020,2419786.0
01031,"Coffee, AL",2021,2736237.0
01031,"Coffee, AL",2022,2841040.0
01031,"Coffee, AL",2023,2995530.0
01031,"Coffee, AL",2024,3202494.0
01033,"Colbert, AL",2019,2143556.0
01033,"Colbert, AL",2020,2313194.0
01033,"Colbert, AL",2021,2549390.0
01033,"Colbert, AL",2022,2593723.0
01033,"Colbert, AL",2023,2743589.0
01033,"Colbert, AL",2024,2870528.0
01035,"Conecuh, AL",2019,401687.0
01035,"Conecuh, AL",2020,428294.0
01035,"Conecuh, AL",2021,469851.0
01035,"Conecuh, AL",2022,463537.0
01035,"Conecuh, AL",2023,480382.0
01035,"Conecuh, AL",2024,506797.0
01037,"Coosa, AL",2019,348089.0
01037,"Coosa, AL",2020,369305.0
01037,"Coosa, AL",2021,404914.0
01037,"Coosa, AL",2022,399836.0
01037,"Coosa, AL",2023,427077.0
