geofips,geoname,year,population
01001,"Autauga, AL",2019,58251.0
01001,"Autauga, AL",2020,58909.0
01001,"Autauga, AL",2021,59191.0
01001,"Autauga, AL",2022,59736.0
01001,"Autauga, AL",2023,60436.0
01001,"Autauga, AL",2024,61464.0
01003,"Baldwin, AL",2019,227057.0
01003,"Baldwin, AL",2020,233244.0
01003,"Baldwin, AL",2021,239411.0
01003,"Baldwin, AL",2022,246577.0
01003,"Baldwin, AL",2023,254107.0
01003,"Baldwin, AL",2024,261608.0
01005,"Barbour, AL",2019,25187.0
01005,"Barbour, AL",2020,24975.0
01005,"Barbour, AL",2021,24517.0
01005,"Barbour, AL",2022,24722.0
01005,"Barbour, AL",2023,24644.0
01005,"Barbour, AL",2024,24358.0
01007,"Bibb, AL",2019,22408.0
01007,"Bibb, AL",2020,22176.0
01007,"Bibb, AL",2021,22344.0
01007,"Bibb, AL",2022,21983.0
01007,"Bibb, AL",2023,21890.0
01007,"Bibb, AL",2024,22258.0
01009,"Blount, AL",2019,58949.0
01009,"Blount, AL",2020,59110.0
01009,"Blount, AL",2021,59050.0
01009,"Blount, AL",2022,59491.0
01009,"Blount, AL",2023,59777.0
01009,"Blount, AL",2024,60163.0
01011,"Bullock, AL",2019,10428.0
01011,"Bullock, AL",2020,10230.0
01011,"Bullock, AL",2021,10126.0
01011,"Bullock, AL",2022,10126.0
01011,"Bullock, AL",2023,9908.0
01011,"Bullock, AL",2024,9901.0
01013,"Butler, AL",2019,19061.0
01013,"Butler, AL",2020,19027.0
01013,"Butler, AL",2021,18856.0
01013,"Butler, AL",2022,18652.0
01013,"Butler, AL",2023,18357.0
01013,"Butler, AL",2024,18256.0
01015,"Calhoun, AL",2019,116601.0
01015,"Calhoun, AL",2020,116242.0
01015,"Calhoun, AL",2021,115633.0
01015,"Calhoun, AL",2022,115744.0
01015,"Calhoun, AL",2023,116403.0
01015,"Calhoun, AL",2024,116427.0
01017,"Chambers, AL",2019,34900.0
01017,"Chambers, AL",2020,34572.0
01017,"Chambers, AL",2021,34396.0
01017,"Chambers, AL",2022,34093.0
01017,"Chambers, AL",2023,34087.0
01017,"Chambers, AL",2024,33813.0
01019,"Cherokee, AL",2019,25005.0
01019,"Cherokee, AL",2020,24981.0
01019,"Cherokee, AL",2021,25060.0
01019,"Cherokee, AL",2022,25334.0
01019,"Cherokee, AL",2023,25700.0
01019,"Cherokee, AL",2024,26138.0
01021,"Chilton, AL",2019,44861.0
01021,"Chilton, AL",2020,45060.0
01021,"Chilton, AL",2021,45255.0
01021,"Chilton, AL",2022,45856.0
01021,"Chilton, AL",2023,46525.0
01021,"Chilton, AL",2024,47262.0
01023,"Choctaw, AL",2019,12758.0
01023,"Choctaw, AL",2020,12622.0
01023,"Choctaw, AL",2021,12544.0
01023,"Choctaw, AL",2022,12420.0
01023,"Choctaw, AL",2023,12263.0
01023,"Choctaw, AL",2024,12052.0
01025,"Clarke, AL",2019,23362.0
01025,"Clarke, AL",2020,22989.0
01025,"Clarke, AL",2021,22735.0
01025,"Clarke, AL",2022,22545.0
01025,"Clarke, AL",2023,22305.0
01025,"Clarke, AL",2024,22142.0
01027,"Clay, AL",2019,14269.0
01027,"Clay, AL",2020,14210.0
01027,"Clay, AL",2021,14156.0
01027,"Clay, AL",2022,14198.0
01027,"Clay, AL",2023,14157.0
01027,"Clay, AL",2024,14239.0
01029,"Cleburne, AL",2019,15029.0
01029,"Cleburne, AL",2020,15063.0
01029,"Cleburne, AL",2021,15151.0
01029,"Cleburne, AL",2022,15353.0
01029,"Cleburne, AL",2023,15658.0
01029,"Cleburne, AL",2024,15905.0
01031,"Coffee, AL",2019,52917.0
01031,"Coffee, AL",2020,53565.0
01031,"Coffee, AL",2021,54201.0
01031,"Coffee, AL",2022,54769.0
01031,"Coffee, AL",2023,55707.0
01031,"Coffee, AL",2024,56358.0
01033,"Colbert, AL",2019,56937.0
01033,"Colbert, AL",2020,57305.0
01033,"Colbert, AL",2021,57615.0
01033,"Colbert, AL",2022,58023.0
01033,"Colbert, AL",2023,58382.0
01033,"Colbert, AL",2024,58785.0
01035,"Conecuh, AL",2019,11751.0
01035,"Conecuh, AL",2020,11551.0
01035,"Conecuh, AL",2021,11317.0
01035,"Conecuh, AL",2022,11220.0
01035,"Conecuh, AL",2023,11177.0
01035,"Conecuh, AL",2024,11109.0
01037,"Coosa, AL",2019,10409.0
01037,"Coosa, AL",2020,10340.0
01037,"Coosa, AL",2021,10321.0
01037,"Coosa, AL",2022,10283.0
01037,"Coosa, AL",2023,10267.0
01037,"Coosa, AL",2024,10291.0
01039,"Covington, AL",2019,37610.0
01039,"Covington, AL",2020,37513.0
01039,"Covington, AL",2021,37512.0
01039,"Covington, AL",2022,37508.0
01039,"Covington, AL",2023,37861.0
01039,"Covington, AL",2024,37748.0
01041,"Crenshaw, AL",2019,13333.0
01041,"Crenshaw, AL",2020,13171.0
01041,"Crenshaw, AL",2021,13062.0
01041,"Crenshaw, AL",2022,13096.0
01041,"Crenshaw, AL",2023,13168.0
01041,"Crenshaw, AL",2024,13114.0
01043,"Cullman, AL",2019,86898.0
01043,"Cullman, AL",2020,88142.0
01043,"Cullman, AL",2021,89578.0
01043,"Cullman, AL",2022,90597.0
01043,"Cullman, AL",2023,91909.0
01043,"Cullman, AL",2024,92604.0
01045,"Dale, AL",2019,49521.0
01045,"Dale, AL",2020,49260.0
01045,"Dale, AL",2021,49344.0
01045,"Dale, AL",2022,49472.0
01045,"Dale, AL",2023,49852.0
01045,"Dale, AL",2024,50067.0
01047,"Dallas, AL",2019,39065.0
01047,"Dallas, AL",2020,38185.0
01047,"Dallas, AL",2021,37496.0
01047,"Dallas, AL",2022,36772.0
01047,"Dallas, AL",2023,36294.0
01047,"Dallas, AL",2024,35545.0
01049,"DeKalb, AL",2019,71453.0
01049,"DeKalb, AL",2020,71673.0
01049,"DeKalb, AL",2021,71880.0
01049,"DeKalb, AL",2022,72046.0
01049,"DeKalb, AL",2023,72626.0
01049,"DeKalb, AL",2024,73122.0
01051,"Elmore, AL",2019,87061.0
01051,"Elmore, AL",2020,87871.0
01051,"Elmore, AL",2021,88734.0
01051,"Elmore, AL",2022,89566.0
01051,"Elmore, AL",2023,90416.0
01051,"Elmore, AL",2024,91042.0
01053,"Escambia, AL",2019,36940.0
01053,"Escambia, AL",2020,36687.0
01053,"Escambia, AL",2021,36628.0
01053,"Escambia, AL",2022,36620.0
01053,"Escambia, AL",2023,36582.0
01053,"Escambia, AL",2024,36630.0
01055,"Etowah, AL",2019,103342.0
01055,"Etowah, AL",2020,103437.0
01055,"Etowah, AL",2021,102887.0
01055,"Etowah, AL",2022,102821.0
01055,"Etowah, AL",2023,103174.0
01055,"Etowah, AL",2024,103207.0
01057,"Fayette, AL",2019,16354.0
01057,"Fayette, AL",2020,16329.0
01057,"Fayette, AL",2021,16119.0
01057,"Fayette, AL",2022,16041.0
01057,"Fayette, AL",2023,15913.0
01057,"Fayette, AL",2024,15863.0
01059,"Franklin, AL",2019,32115.0
01059,"Franklin, AL",2020,32076.0
01059,"Franklin, AL",2021,31991.0
01059,"Franklin, AL",2022,31947.0
