county_fips,cbsa_code,cbsa_title,metro_micro,central_outlying
46013,10100,"Aberdeen, SD",Micropolitan Statistical Area,Central
46045,10100,"Aberdeen, SD",Micropolitan Statistical Area,Outlying
53027,10140,"Aberdeen, WA",Micropolitan Statistical Area,Central
48059,10180,"Abilene, TX",Metropolitan Statistical Area,Outlying
48253,10180,"Abilene, TX",Metropolitan Statistical Area,Outlying
48441,10180,"Abilene, TX",Metropolitan Statistical Area,Central
40123,10220,"Ada, OK",Micropolitan Statistical Area,Central
26091,10300,"Adrian, MI",Micropolitan Statistical Area,Central
72003,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72005,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72011,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72071,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72099,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72117,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
72131,10380,"Aguadilla, PR",Metropolitan Statistical Area,Central
39133,10420,"Akron, OH",Metropolitan Statistical Area,Central
39153,10420,"Akron, OH",Metropolitan Statistical Area,Central
35035,10460,"Alamogordo, NM",Micropolitan Statistical Area,Central
08003,10480,"Alamosa, CO",Micropolitan Statistical Area,Central
08021,10480,"Alamosa, CO",Micropolitan Statistical Area,Outlying
08023,10480,"Alamosa, CO",Micropolitan Statistical Area,Outlying
13095,10500,"Albany, GA",Metropolitan Statistical Area,Central
13177,10500,"Albany, GA",Metropolitan Statistical Area,Central
13273,10500,"Albany, GA",Metropolitan Statistical Area,Outlying
13321,10500,"Albany, GA",Metropolitan Statistical Area,Outlying
41043,10540,"Albany, OR",Metropolitan Statistical Area,Central
36001,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central
36083,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central
36091,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Outlying
36093,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Central
36095,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Outlying
37167,10620,"Albemarle, NC",Micropolitan Statistical Area,Central
27047,10660,"Albert Lea, MN",Micropolitan Statistical Area,Central
01095,10700,"Albertville, AL",Micropolitan Statistical Area,Central
35001,10740,"Albuquerque, NM",Metropolitan Statistical Area,Central
35043,10740,"Albuquerque, NM",Metropolitan Statistical Area,Central
35057,10740,"Albuquerque, NM",Metropolitan Statistical Area,Outlying
35061,10740,"Albuquerque, NM",Metropolitan Statistical Area,Outlying
01123,10760,"Alexander City, AL",Micropolitan Statistical Area,Central
22043,10780,"Alexandria, LA",Metropolitan Statistical Area,Outlying
22079,10780,"Alexandria, LA",Metropolitan Statistical Area,Central
27041,10820,"Alexandria, MN",Micropolitan Statistical Area,Central
48047,10860,"Alice, TX",Micropolitan Statistical Area,Outlying
48249,10860,"Alice, TX",Micropolitan Statistical Area,Central
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Central
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Outlying
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Central
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Central
26057,10940,"Alma, MI",Micropolitan Statistical Area,Central
26007,10980,"Alpena, MI",Micropolitan Statistical Area,Central
42013,11020,"Altoona, PA",Metropolitan Statistical Area,Central
40065,11060,"Altus, OK",Micropolitan Statistical Area,Central
48011,11100,"Amarillo, TX",Metropolitan Statistical Area,Outlying
48065,11100,"Amarillo, TX",Metropolitan Statistical Area,Outlying
48359,11100,"Amarillo, TX",Metropolitan Statistical Area,Outlying
48375,11100,"Amarillo, TX",Metropolitan Statistical Area,Central
48381,11100,"Amarillo, TX",Metropolitan Statistical Area,Central
13249,11140,"Americus, GA",Micropolitan Statistical Area,Outlying
13261,11140,"Americus, GA",Micropolitan Statistical Area,Central
19015,11180,"Ames, IA",Metropolitan Statistical Area,Outlying
19169,11180,"Ames, IA",Metropolitan Statistical Area,Central
25015,11200,"Amherst Town-Northampton, MA",Metropolitan Statistical Area,Central
36057,11220,"Amsterdam, NY",Micropolitan Statistical Area,Central
02020,11260,"Anchorage, AK",Metropolitan Statistical Area,Central
02170,11260,"Anchorage, AK",Metropolitan Statistical Area,Outlying
37085,11360,"Anderson Creek, NC",Micropolitan Statistical Area,Central
48003,11380,"Andrews, TX",Micropolitan Statistical Area,Central
18151,11420,"Angola, IN",Micropolitan Statistical Area,Central
26161,11460,"Ann Arbor, MI",Metropolitan Statistical Area,Central
01015,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,Central
55015,11540,"Appleton, WI",Metropolitan Statistical Area,Central
55087,11540,"Appleton, WI",Metropolitan Statistical Area,Central
12027,11580,"Arcadia, FL",Micropolitan Statistical Area,Central
40019,11620,"Ardmore, OK",Micropolitan Statistical Area,Central
72013,11640,"Arecibo, PR",Metropolitan Statistical Area,Central
72027,11640,"Arecibo, PR",Metropolitan Statistical Area,Central
72065,11640,"Arecibo, PR",Metropolitan Statistical Area,Central
72115,11640,"Arecibo, PR",Metropolitan Statistical Area,Central
05019,11660,"Arkadelphia, AR",Micropolitan Statistical Area,Central
20035,11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,Central
37021,11700,"Asheville, NC",Metropolitan Statistical Area,Central
37089,11700,"Asheville, NC",Metropolitan Statistical Area,Central
37115,11700,"Asheville, NC",Metropolitan Statistical Area,Outlying
39005,11740,"Ashland, OH",Micropolitan Statistical Area,Central
41007,11820,"Astoria, OR",Micropolitan Statistical Area,Central
20005,11860,"Atchison, KS",Micropolitan Statistical Area,Central
39009,11900,"Athens, OH",Micropolitan Statistical Area,Central
47107,11940,"Athens, TN",Micropolitan Statistical Area,Central
47121,11940,"Athens, TN",Micropolitan Statistical Area,Outlying
48213,11980,"Athens, TX",Micropolitan Statistical Area,Central
13059,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Central
13195,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Outlying
13219,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Central
13221,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Outlying
13013,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13035,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13045,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13063,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13077,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13085,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13089,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13097,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13113,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13117,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13121,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13135,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13149,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13151,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13159,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13187,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13199,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13211,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13217,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13227,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13231,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13247,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13255,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13297,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13015,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13057,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13067,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
13143,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Outlying
13223,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central
34001,12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Central
34009,12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Central
18033,12140,"Auburn, IN",Micropolitan Statistical Area,Central
36011,12180,"Auburn, NY",Micropolitan Statistical Area,Central
01081,12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Central
01087,12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Outlying
13033,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Outlying
13073,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Central
13181,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Outlying
13189,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Outlying
13245,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Central
45003,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Central
45037,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Outlying
23011,12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Central
27099,12380,"Austin, MN",Micropolitan Statistical Area,Central
48021,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,Outlying
48055,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,Outlying
48209,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,Central
48453,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,Central
48491,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,Central
13087,12460,"Bainbridge, GA",Micropolitan Statistical Area,Central
41001,12520,"Baker City, OR",Micropolitan Statistical Area,Central
06029,12540,"Bakersfield-Delano, CA",Metropolitan Statistical Area,Central
24003,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Central
24005,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Central
24013,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Outlying
24025,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Outlying
24027,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Central
24035,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Outlying
24510,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Central
23019,12620,"Bangor, ME",Metropolitan Statistical Area,Central
55111,12660,"Baraboo, WI",Micropolitan Statistical Area,Central
25001,12700,"Barnstable Town, MA",Metropolitan Statistical Area,Central
50023,12740,"Barre, VT",Micropolitan Statistical Area,Central
40147,12780,"Bartlesville, OK",Micropolitan Statistical Area,Central
36037,12860,"Batavia, NY",Micropolitan Statistical Area,Central
05063,12900,"Batesville, AR",Micropolitan Statistical Area,Central
22005,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Central
22007,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Outlying
22033,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Central
22037,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Outlying
22047,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Central
22063,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Central
22077,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Outlying
22091,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Outlying
22121,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Central
22125,12940,"Baton Rouge, LA",Metropolitan Statistical Area,Outlying
26025,12980,"Battle Creek, MI",Metropolitan Statistical Area,Central
26017,13020,"Bay City, MI",Metropolitan Statistical Area,Central
48321,13060,"Bay City, TX",Micropolitan Statistical Area,Central
31067,13100,"Beatrice, NE",Micropolitan Statistical Area,Central
48199,13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Outlying
48245,13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Central
48361,13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Outlying
55027,13180,"Beaver Dam, WI",Micropolitan Statistical Area,Central
54019,13220,"Beckley, WV",Metropolitan Statistical Area,Central
54081,13220,"Beckley, WV",Metropolitan Statistical Area,Central
18093,13260,"Bedford, IN",Micropolitan Statistical Area,Central
48025,13300,"Beeville, TX",Micropolitan Statistical Area,Central
39091,13340,"Bellefontaine, OH",Micropolitan Statistical Area,Central
53073,13380,"Bellingham, WA",Metropolitan Statistical Area,Central
27007,13420,"Bemidji, MN",Micropolitan Statistical Area,Central
41013,13460,"Bend, OR",Metropolitan Statistical Area,Outlying
41017,13460,"Bend, OR",Metropolitan Statistical Area,Central
41031,13460,"Bend, OR",Metropolitan Statistical Area,Outlying
50003,13540,"Bennington, VT",Micropolitan Statistical Area,Central
26107,13660,"Big Rapids, MI",Micropolitan Statistical Area,Central
48227,13700,"Big Spring, TX",Micropolitan Statistical Area,Central
30009,13740,"Billings, MT",Metropolitan Statistical Area,Outlying
30095,13740,"Billings, MT",Metropolitan Statistical Area,Outlying
30111,13740,"Billings, MT",Metropolitan Statistical Area,Central
36007,13780,"Binghamton, NY",Metropolitan Statistical Area,Central
36107,13780,"Binghamton, NY",Metropolitan Statistical Area,Central
01007,13820,"Birmingham, AL",Metropolitan Statistical Area,Outlying
01009,13820,"Birmingham, AL",Metropolitan Statistical Area,Outlying
01021,13820,"Birmingham, AL",Metropolitan Statistical Area,Outlying
01073,13820,"Birmingham, AL",Metropolitan Statistical Area,Central
01115,13820,"Birmingham, AL",Metropolitan Statistical Area,Central
01117,13820,"Birmingham, AL",Metropolitan Statistical Area,Central
01127,13820,"Birmingham, AL",Metropolitan Statistical Area,Outlying
06027,13860,"Bishop, CA",Micropolitan Statistical Area,Central
38015,13900,"Bismarck, ND",Metropolitan Statistical Area,Central
38059,13900,"Bismarck, ND",Metropolitan Statistical Area,Central
38065,13900,"Bismarck, ND",Metropolitan Statistical Area,Outlying
16011,13940,"Blackfoot, ID",Micropolitan Statistical Area,Central
51063,13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Outlying
51071,13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Outlying
51121,13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Central
51155,13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Outlying
51750,13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Central
17113,14010,"Bloomington, IL",Metropolitan Statistical Area,Central
18105,14020,"Bloomington, IN",Metropolitan Statistical Area,Central
18119,14020,"Bloomington, IN",Metropolitan Statistical Area,Outlying
42037,14100,"Bloomsburg-Berwick, PA",Micropolitan Statistical Area,Central
51185,14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Central
54055,14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Central
05093,14180,"Blytheville, AR",Micropolitan Statistical Area,Central
22117,14220,"Bogalusa, LA",Micropolitan Statistical Area,Central
16001,14260,"Boise City, ID",Metropolitan Statistical Area,Central
16015,14260,"Boise City, ID",Metropolitan Statistical Area,Outlying
16027,14260,"Boise City, ID",Metropolitan Statistical Area,Outlying
16045,14260,"Boise City, ID",Metropolitan Statistical Area,Outlying
16073,14260,"Boise City, ID",Metropolitan Statistical Area,Outlying
48147,14300,"Bonham, TX",Micropolitan Statistical Area,Central
37189,14380,"Boone, NC",Micropolitan Statistical Area,Central
48233,14420,"Borger, TX",Micropolitan Statistical Area,Central
25021,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
25023,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
25025,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
25009,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
25017,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
33015,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Central
33017,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Outlying
08013,14500,"Boulder, CO",Metropolitan Statistical Area,Central
21003,14540,"Bowling Green, KY",Metropolitan Statistical Area,Outlying
21031,14540,"Bowling Green, KY",Metropolitan Statistical Area,Outlying
21061,14540,"Bowling Green, KY",Metropolitan Statistical Area,Outlying
21227,14540,"Bowling Green, KY",Metropolitan Statistical Area,Central
30031,14580,"Bozeman, MT",Metropolitan Statistical Area,Central
42083,14620,"Bradford, PA",Micropolitan Statistical Area,Central
27021,14660,"Brainerd, MN",Micropolitan Statistical Area,Outlying
27035,14660,"Brainerd, MN",Micropolitan Statistical Area,Central
29213,14700,"Branson, MO",Micropolitan Statistical Area,Central
50025,14710,"Brattleboro, VT",Micropolitan Statistical Area,Central
08065,14720,"Breckenridge, CO",Micropolitan Statistical Area,Outlying
08117,14720,"Breckenridge, CO",Micropolitan Statistical Area,Central
53035,14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Central
48477,14780,"Brenham, TX",Micropolitan Statistical Area,Central
37175,14820,"Brevard, NC",Micropolitan Statistical Area,Central
09120,14860,"Bridgeport-Stamford-Danbury, CT",Metropolitan Statistical Area,Central
09190,14860,"Bridgeport-Stamford-Danbury, CT",Metropolitan Statistical Area,Central
16071,14940,"Brigham City, UT-ID",Micropolitan Statistical Area,Outlying
49003,14940,"Brigham City, UT-ID",Micropolitan Statistical Area,Central
28085,15020,"Brookhaven, MS",Micropolitan Statistical Area,Central
41015,15060,"Brookings, OR",Micropolitan Statistical Area,Central
46011,15100,"Brookings, SD",Micropolitan Statistical Area,Central
48061,15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Central
48049,15220,"Brownwood, TX",Micropolitan Statistical Area,Central
13025,15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,Outlying
13127,15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,Central
13191,15260,"Brunswick-St. Simons, GA",Metropolitan Statistical Area,Outlying
39033,15340,"Bucyrus, OH",Micropolitan Statistical Area,Central
36029,15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Central
36063,15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Central
16031,15420,"Burley, ID",Micropolitan Statistical Area,Central
16067,15420,"Burley, ID",Micropolitan Statistical Area,Central
17071,15460,"Burlington, IA-IL",Micropolitan Statistical Area,Outlying
19057,15460,"Burlington, IA-IL",Micropolitan Statistical Area,Central
37001,15500,"Burlington, NC",Metropolitan Statistical Area,Central
50007,15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Central
50011,15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Outlying
50013,15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Outlying
30093,15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,Central
26113,15620,"Cadillac, MI",Micropolitan Statistical Area,Outlying
26165,15620,"Cadillac, MI",Micropolitan Statistical Area,Central
13129,15660,"Calhoun, GA",Micropolitan Statistical Area,Central
24019,15700,"Cambridge, MD",Micropolitan Statistical Area,Central
39059,15740,"Cambridge, OH",Micropolitan Statistical Area,Central
05013,15780,"Camden, AR",Micropolitan Statistical Area,Outlying
05103,15780,"Camden, AR",Micropolitan Statistical Area,Central
21087,15820,"Campbellsville, KY",Micropolitan Statistical Area,Outlying
21217,15820,"Campbellsville, KY",Micropolitan Statistical Area,Central
08043,15860,"Cañon City, CO",Micropolitan Statistical Area,Central
17057,15900,"Canton, IL",Micropolitan Statistical Area,Central
39019,15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Outlying
39151,15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Central
12071,15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
17003,16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Outlying
29017,16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Outlying
29031,16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Central
17077,16060,"Carbondale, IL",Micropolitan Statistical Area,Central
35015,16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Central
19027,16140,"Carroll, IA",Micropolitan Statistical Area,Central
32510,16180,"Carson City, NV",Metropolitan Statistical Area,Central
56025,16220,"Casper, WY",Metropolitan Statistical Area,Central
49021,16260,"Cedar City, UT",Micropolitan Statistical Area,Central
19011,16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Outlying
19105,16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Outlying
19113,16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Central
13233,16340,"Cedartown, GA",Micropolitan Statistical Area,Central
39107,16380,"Celina, OH",Micropolitan Statistical Area,Central
17121,16460,"Centralia, IL",Micropolitan Statistical Area,Central
53041,16500,"Centralia, WA",Micropolitan Statistical Area,Central
42055,16540,"Chambersburg, PA",Metropolitan Statistical Area,Central
17019,16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Central
17053,16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Outlying
17147,16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Outlying
54005,16620,"Charleston, WV",Metropolitan Statistical Area,Outlying
54015,16620,"Charleston, WV",Metropolitan Statistical Area,Outlying
54039,16620,"Charleston, WV",Metropolitan Statistical Area,Central
17029,16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Central
45015,16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Central
45019,16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Central
45035,16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Central
37007,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Outlying
37025,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Outlying
37071,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Outlying
37097,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Central
37109,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Outlying
37119,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Central
37159,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Outlying
