cbsa_code,year,annual_avg_emplvl
10500,2019,60381
10620,2019,19402
11140,2019,11997
11700,2019,196715
12020,2019,89331
12060,2019,2693314
12260,2019,230081
12580,2019,1344400
13820,2019,500533
14540,2019,74216
15260,2019,43002
15500,2019,62633
15660,2019,23554
15980,2019,268846
16700,2019,351392
16740,2019,1217113
16860,2019,251442
17420,2019,46183
17500,2019,11852
17900,2019,378183
17980,2019,117400
18880,2019,113213
19100,2019,3627903
19140,2019,64277
19300,2019,76419
19460,2019,54953
19660,2019,200146
20020,2019,57528
20500,2019,310143
21460,2019,16404
21780,2019,153681
22500,2019,86726
24660,2019,356115
24780,2019,77591
24860,2019,404490
25940,2019,78741
26620,2019,230501
27260,2019,689022
28680,2019,14464
28940,2019,385712
29300,2019,40488
31080,2019,6160476
31140,2019,645026
31340,2019,99930
31420,2019,99201
32820,2019,624109
33100,2019,2604466
33660,2019,171826
33860,2019,164099
34820,2019,166953
34940,2019,151567
34980,2019,995238
35840,2019,302644
36740,2019,1270648
37120,2019,17230
37340,2019,222374
37860,2019,178446
38940,2019,149600
39460,2019,48722
39580,2019,638328
40220,2019,151690
40660,2019,39710
42340,2019,178678
42680,2019,53518
43180,2019,16124
43900,2019,155990
44340,2019,25933
44940,2019,37261
45220,2019,176444
45300,2019,1314523
45620,2019,19887
45700,2019,20825
46220,2019,103670
46660,2019,55007
47580,2019,75814
47900,2019,3180945
49180,2019,265601
10500,2024,58539
10620,2024,23093
11140,2024,11054
11700,2024,185013
12020,2024,95032
12060,2024,2874559
12260,2024,230964
12580,2024,1355235
13820,2024,516004
14540,2024,80395
15260,2024,46801
15500,2024,67668
15660,2024,24899
15980,2024,299283
16700,2024,386863
16740,2024,1339736
16860,2024,268925
17420,2024,43424
17500,2024,14382
17900,2024,394043
17980,2024,115683
18880,2024,124490
19100,2024,4000366
19140,2024,66081
19300,2024,85118
19460,2024,58670
19660,2024,217509
20020,2024,60267
20500,2024,343007
21460,2024,17365
21780,2024,134196
22500,2024,88892
24660,2024,356997
24780,2024,81371
24860,2024,429730
25940,2024,82006
26620,2024,263887
27260,2024,754759
28680,2024,15883
28940,2024,420318
29300,2024,51173
31080,2024,6186987
31140,2024,682597
31340,2024,96541
31420,2024,93762
32820,2024,615764
33100,2024,2788979
33660,2024,175327
33860,2024,169500
34820,2024,144489
34940,2024,171813
34980,2024,1095192
35840,2024,333972
36740,2024,1396330
37120,2024,18260
37340,2024,242124
37860,2024,189520
38940,2024,166844
39460,2024,56024
39580,2024,727906
40220,2024,151759
40660,2024,43894
42340,2024,196221
42680,2024,57522
43180,2024,18134
43900,2024,162907
44340,2024,32802
44940,2024,35179
45220,2024,189751
45300,2024,1433077
45620,2024,26851
45700,2024,23937
46220,2024,107354
46660,2024,54697
47580,2024,76277
47900,2024,3191398
49180,2024,270868
