year,state,county_name,county_fips,deposits_kusd,address,city
2025,TN,Davidson,47037,0,"21 Platform Way S, Suite 2300",Nashville
2025,TN,Williamson,47187,698127,128 Franklin Rd,Brentwood
2025,TN,Bedford,47003,172443,604 N Main St,Shelbyville
2025,SC,Charleston,45019,116747,1503 Old Towne Rd,Charleston
2025,SC,Charleston,45019,43582,329 Folly Rd,Charleston
2025,NC,Forsyth,37067,42970,215 Harvey St,Winston Salem
2025,VA,Roanoke (City),51770,638689,202 Campbell Ave Se,Roanoke
2025,VA,Roanoke,51161,66474,4467 Starkey Rd,Roanoke
2025,VA,Roanoke (City),51770,56099,2203 Crystal Spring Ave Sw,Roanoke
2025,VA,Salem (City),51775,46114,8 E Main St,Salem
2025,VA,Roanoke (City),51770,21670,1518 Hershberger Rd Nw,Roanoke
2025,VA,Roanoke,51161,26757,1003 Hardy Rd,Vinton
2025,VA,Roanoke (City),51770,88,1327 Grandin Rd Sw,Roanoke
2025,VA,Roanoke,51161,34867,4003 Challenger Ave,Roanoke
2025,SC,Greenville,45045,28686,787h E Butler Rd,Mauldin
2025,SC,Spartanburg,45083,119184,531 E Main St,Spartanburg
2025,SC,Greenville,45045,17632,2415 Laurens Rd,Greenville
2025,SC,Greenville,45045,59015,3900 Pelham Rd,Greenville
2025,SC,Pickens,45077,63058,6602 Calhoun Memorial Hwy,Easley
2025,TN,Rutherford,47149,13434,1645 Nw Broad St,Murfreesboro
2025,SC,Charleston,45019,171937,530 Johnnie Dodds Blvd,Mount Pleasant
2025,SC,Charleston,45019,49569,2753 Maybank Hwy,Johns Island
2025,SC,Charleston,45019,30746,802 Savannah Hwy,Charleston
2025,SC,Dorchester,45035,103788,203 N Main St,Summerville
2025,SC,Berkeley,45015,27074,597 Old MT. Holly Road,Goose Creek
2025,SC,Dorchester,45035,18740,8420 Dorchester Rd,Charleston
2025,SC,Charleston,45019,67256,3305 S Morgans Point Rd,Mount Pleasant
2025,TN,Rutherford,47149,79984,1745 Memorial Blvd,Murfreesboro
2025,NC,Union,37179,138794,1700 Dickerson Blvd,Monroe
2025,NC,Guilford,37081,718382,300 N Main St,High Point
2025,NC,Guilford,37081,85164,2800 S Main St,High Point
2025,NC,Guilford,37081,0,220 N Wrenn St,High Point
2025,NC,Guilford,37081,0,1585 N University Pkwy,High Point
2025,NC,Guilford,37081,43780,1431 New Garden Rd,Greensboro
2025,TN,Rutherford,47149,139893,123 Cason Ln,Murfreesboro
2025,TN,Hamilton,47065,58885,6180 Shallowford Rd,Chattanooga
2025,NC,Guilford,37081,76806,1813 Westchester Dr,High Point
2025,NC,Guilford,37081,45802,1028 Eastchester Dr,High Point
2025,NC,Wake,37183,671946,3515 Glenwood Ave,Raleigh
2025,TN,Davidson,47037,13613,425 11th Ave N,Nashville
2025,TN,Shelby,47157,2101174,949 Shady Grove Rd S,Memphis
2025,NC,Mecklenburg,37119,194007,15025 Ballancroft Pkwy,Charlotte
2025,TN,Rutherford,47149,97271,2035 Se Broad St,Murfreesboro
2025,TN,Rutherford,47149,70773,2604 S Church St,Murfreesboro
2025,TN,Shelby,47157,29783,155 Rozelle Street,Memphis
2025,TN,Hamilton,47065,49137,5544 Little Debbie Pkwy,Ooltewah
2025,GA,Cobb,13067,0,"3333 Riverwood Pkwy Se, Ste 100",Atlanta
2025,GA,Cobb,13067,974474,"3333 Riverwood Pkwy Se, Ste 110",Atlanta
2025,VA,Lynchburg (City),51680,0,"1610 Graves Mill Rd, Ste B",Lynchburg
2025,TN,Rutherford,47149,0,214 W College St,Murfreesboro
2025,TN,Rutherford,47149,34462,2209 Medical Center Pkwy,Murfreesboro
2025,TN,Shelby,47157,122945,3070 Kirby Whitten Rd,Bartlett
2025,TN,Rutherford,47149,54867,467 W Sam Ridley Pkwy,Smyrna
2025,GA,Fulton,13121,18358,"3379 Peachtree Rd Ne, Ste 100",Atlanta
2025,TN,Sumner,47165,245942,1534 Noah Ln,Gallatin
2025,NC,Mecklenburg,37119,170249,16633 Birkdale Commons Pkwy Ste D-400,Huntersville
2025,TN,Rutherford,47149,1644622,114 College Street,Murfreesboro
2025,TN,Davidson,47037,199829,424 Donelson Pike,Nashville
2025,TN,Shelby,47157,21068,4403 Elvis Presley Blvd,Memphis
2025,AL,Madison,01089,451823,409 Madison St Se,Huntsville
2025,VA,Fairfax,51059,2140358,"1800 Tysons Blvd, Ste 50",Mclean
2025,AL,Jefferson,01073,482452,569 Brookwood Vlg Ste 700,Birmingham
2025,TN,Davidson,47037,6101,113 Platform Way N,Nashville
2025,GA,Fulton,13121,55978,"3050 Northwinds Parkway, Suites 100",Alpharetta
2025,NC,Wake,37183,52782,13341 Falls of Neuse Road,Raleigh
2025,TN,Knox,47093,2243706,"1111 N Northshore Dr, Ste S130",Knoxville
