cbsa_code,cbsa_title,metro_micro,county_fips,branches,branches_acquired,deposits_2025_kusd,deposits_2020_kusd,states,in_footprint_states
29300,"LaGrange, GA-AL",Micropolitan,,2,2,427968,280702,GA,True
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",Metropolitan,,6,3,875372,602559,SC,True
13820,"Birmingham, AL",Metropolitan,,15,13,4110409,2462690,AL,True
17500,"Clewiston, FL",Micropolitan,,1,1,99853,90523,FL,True
20020,"Dothan, AL",Metropolitan,,1,1,189383,164194,AL,True
44940,"Sumter, SC",Metropolitan,,2,2,390991,335511,SC,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,,48,41,15331595,6257726,GA,True
37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan,,7,7,1086916,798524,FL,True
16860,"Chattanooga, TN-GA",Metropolitan,,7,3,2519276,1446165,GA|TN,True
33860,"Montgomery, AL",Metropolitan,,3,3,881825,963457,AL,True
11140,"Americus, GA",Micropolitan,,1,1,190396,177585,GA,True
15980,"Cape Coral-Fort Myers, FL",Metropolitan,,4,4,383686,423649,FL,True
45620,"Thomasville, GA",Micropolitan,,3,3,303013,248060,GA,True
24660,"Greensboro-High Point, NC",Metropolitan,,13,0,2144815,1690314,NC,True
26620,"Huntsville, AL",Metropolitan,,6,4,1439085,762123,AL,True
17980,"Columbus, GA-AL",Metropolitan,,14,14,5699765,945431,AL|GA,True
17900,"Columbia, SC",Metropolitan,,9,9,1608550,1247269,SC,True
RURAL,"Clarendon, SC",Rural,45027,1,1,111499,95402,SC,True
RURAL,"Lee, SC",Rural,45061,1,1,112271,75163,SC,True
16700,"Charleston-North Charleston, SC",Metropolitan,,22,9,2000187,1270997,SC,True
25940,"Hilton Head Island-Bluffton-Port Royal, SC",Metropolitan,,3,2,167688,156558,SC,True
24860,"Greenville-Anderson-Greer, SC",Metropolitan,,7,3,644725,454179,SC,True
22500,"Florence, SC",Metropolitan,,1,1,95887,99741,SC,True
39460,"Punta Gorda, FL",Metropolitan,,3,3,280612,345742,FL,True
44340,"Statesboro, GA",Micropolitan,,3,3,809518,511084,GA,True
46660,"Valdosta, GA",Metropolitan,,3,3,556329,550463,GA,True
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan,,5,5,806525,489471,FL,True
21460,"Enterprise, AL",Micropolitan,,1,1,308270,175349,AL,True
37120,"Ozark, AL",Micropolitan,,1,1,113704,85064,AL,True
10500,"Albany, GA",Metropolitan,,3,3,351371,324286,GA,True
