geofips,geoname,year,per_capita_personal_income_usd
01001,"Autauga, AL",2019,42538.0
01001,"Autauga, AL",2020,45089.0
01001,"Autauga, AL",2021,49254.0
01001,"Autauga, AL",2022,49879.0
01001,"Autauga, AL",2023,52989.0
01001,"Autauga, AL",2024,55710.0
01003,"Baldwin, AL",2019,47921.0
01003,"Baldwin, AL",2020,50935.0
01003,"Baldwin, AL",2021,56504.0
01003,"Baldwin, AL",2022,57721.0
01003,"Baldwin, AL",2023,61354.0
01003,"Baldwin, AL",2024,63905.0
01005,"Barbour, AL",2019,34694.0
01005,"Barbour, AL",2020,37090.0
01005,"Barbour, AL",2021,41062.0
01005,"Barbour, AL",2022,41053.0
01005,"Barbour, AL",2023,41924.0
01005,"Barbour, AL",2024,44906.0
01007,"Bibb, AL",2019,32102.0
01007,"Bibb, AL",2020,34859.0
01007,"Bibb, AL",2021,37440.0
01007,"Bibb, AL",2022,38232.0
01007,"Bibb, AL",2023,40483.0
01007,"Bibb, AL",2024,41951.0
01009,"Blount, AL",2019,36554.0
01009,"Blount, AL",2020,37789.0
01009,"Blount, AL",2021,43062.0
01009,"Blount, AL",2022,44085.0
01009,"Blount, AL",2023,45863.0
01009,"Blount, AL",2024,48543.0
01011,"Bullock, AL",2019,27176.0
01011,"Bullock, AL",2020,30773.0
01011,"Bullock, AL",2021,34222.0
01011,"Bullock, AL",2022,33623.0
01011,"Bullock, AL",2023,37052.0
01011,"Bullock, AL",2024,39403.0
01013,"Butler, AL",2019,37751.0
01013,"Butler, AL",2020,39520.0
01013,"Butler, AL",2021,45620.0
01013,"Butler, AL",2022,47524.0
01013,"Butler, AL",2023,50171.0
01013,"Butler, AL",2024,53320.0
01015,"Calhoun, AL",2019,36761.0
01015,"Calhoun, AL",2020,39595.0
01015,"Calhoun, AL",2021,43320.0
01015,"Calhoun, AL",2022,42684.0
01015,"Calhoun, AL",2023,44970.0
01015,"Calhoun, AL",2024,47333.0
01017,"Chambers, AL",2019,33550.0
01017,"Chambers, AL",2020,36084.0
01017,"Chambers, AL",2021,39439.0
01017,"Chambers, AL",2022,39568.0
01017,"Chambers, AL",2023,41763.0
01017,"Chambers, AL",2024,43944.0
01019,"Cherokee, AL",2019,37892.0
01019,"Cherokee, AL",2020,39928.0
01019,"Cherokee, AL",2021,44703.0
01019,"Cherokee, AL",2022,44552.0
01019,"Cherokee, AL",2023,45613.0
01019,"Cherokee, AL",2024,47994.0
01021,"Chilton, AL",2019,36220.0
01021,"Chilton, AL",2020,38335.0
01021,"Chilton, AL",2021,42911.0
01021,"Chilton, AL",2022,43434.0
01021,"Chilton, AL",2023,45777.0
01021,"Chilton, AL",2024,48183.0
01023,"Choctaw, AL",2019,38470.0
01023,"Choctaw, AL",2020,40518.0
01023,"Choctaw, AL",2021,43719.0
01023,"Choctaw, AL",2022,43293.0
01023,"Choctaw, AL",2023,45672.0
01023,"Choctaw, AL",2024,49151.0
01025,"Clarke, AL",2019,37644.0
01025,"Clarke, AL",2020,41244.0
01025,"Clarke, AL",2021,45178.0
01025,"Clarke, AL",2022,44541.0
01025,"Clarke, AL",2023,46970.0
01025,"Clarke, AL",2024,49608.0
01027,"Clay, AL",2019,31968.0
01027,"Clay, AL",2020,35035.0
01027,"Clay, AL",2021,39596.0
01027,"Clay, AL",2022,39516.0
01027,"Clay, AL",2023,39620.0
01027,"Clay, AL",2024,42162.0
01029,"Cleburne, AL",2019,36009.0
01029,"Cleburne, AL",2020,37889.0
01029,"Cleburne, AL",2021,42969.0
01029,"Cleburne, AL",2022,44365.0
01029,"Cleburne, AL",2023,45164.0
01029,"Cleburne, AL",2024,47223.0
01031,"Coffee, AL",2019,42823.0
01031,"Coffee, AL",2020,45175.0
01031,"Coffee, AL",2021,50483.0
01031,"Coffee, AL",2022,51873.0
01031,"Coffee, AL",2023,53773.0
01031,"Coffee, AL",2024,56824.0
01033,"Colbert, AL",2019,37648.0
01033,"Colbert, AL",2020,40366.0
01033,"Colbert, AL",2021,44249.0
01033,"Colbert, AL",2022,44702.0
01033,"Colbert, AL",2023,46994.0
01033,"Colbert, AL",2024,48831.0
01035,"Conecuh, AL",2019,34183.0
