geofips,geoname,metro_micro,year,per_capita_personal_income_usd,n_units,note
10100,"Aberdeen, SD",Micropolitan,2019,54190.0,2,
10100,"Aberdeen, SD",Micropolitan,2020,61640.0,2,
10100,"Aberdeen, SD",Micropolitan,2021,72445.0,2,
10100,"Aberdeen, SD",Micropolitan,2022,76262.0,2,
10100,"Aberdeen, SD",Micropolitan,2023,80778.0,2,
10100,"Aberdeen, SD",Micropolitan,2024,80588.0,2,
10140,"Aberdeen, WA",Micropolitan,2019,40470.0,1,
10140,"Aberdeen, WA",Micropolitan,2020,43613.0,1,
10140,"Aberdeen, WA",Micropolitan,2021,47072.0,1,
10140,"Aberdeen, WA",Micropolitan,2022,46977.0,1,
10140,"Aberdeen, WA",Micropolitan,2023,50155.0,1,
10140,"Aberdeen, WA",Micropolitan,2024,53029.0,1,
10180,"Abilene, TX",Metropolitan,2019,45049.0,3,
10180,"Abilene, TX",Metropolitan,2020,47875.0,3,
10180,"Abilene, TX",Metropolitan,2021,52118.0,3,
10180,"Abilene, TX",Metropolitan,2022,54326.0,3,
10180,"Abilene, TX",Metropolitan,2023,56571.0,3,
10180,"Abilene, TX",Metropolitan,2024,58923.0,3,
10220,"Ada, OK",Micropolitan,2019,45106.0,1,
10220,"Ada, OK",Micropolitan,2020,48095.0,1,
10220,"Ada, OK",Micropolitan,2021,51650.0,1,
10220,"Ada, OK",Micropolitan,2022,53239.0,1,
10220,"Ada, OK",Micropolitan,2023,56001.0,1,
10220,"Ada, OK",Micropolitan,2024,60182.0,1,
10300,"Adrian, MI",Micropolitan,2019,40119.0,1,
10300,"Adrian, MI",Micropolitan,2020,44165.0,1,
10300,"Adrian, MI",Micropolitan,2021,47826.0,1,
10300,"Adrian, MI",Micropolitan,2022,48526.0,1,
10300,"Adrian, MI",Micropolitan,2023,51181.0,1,
10300,"Adrian, MI",Micropolitan,2024,53030.0,1,
10420,"Akron, OH",Metropolitan,2019,50915.0,2,
10420,"Akron, OH",Metropolitan,2020,54383.0,2,
10420,"Akron, OH",Metropolitan,2021,59752.0,2,
10420,"Akron, OH",Metropolitan,2022,59373.0,2,
10420,"Akron, OH",Metropolitan,2023,62807.0,2,
10420,"Akron, OH",Metropolitan,2024,65766.0,2,
10460,"Alamogordo, NM",Micropolitan,2019,35102.0,1,
10460,"Alamogordo, NM",Micropolitan,2020,38887.0,1,
10460,"Alamogordo, NM",Micropolitan,2021,41925.0,1,
10460,"Alamogordo, NM",Micropolitan,2022,42411.0,1,
10460,"Alamogordo, NM",Micropolitan,2023,43627.0,1,
10460,"Alamogordo, NM",Micropolitan,2024,44665.0,1,
10480,"Alamosa, CO",Micropolitan,2019,37997.0,3,
10480,"Alamosa, CO",Micropolitan,2020,40677.0,3,
10480,"Alamosa, CO",Micropolitan,2021,44419.0,3,
10480,"Alamosa, CO",Micropolitan,2022,44155.0,3,
10480,"Alamosa, CO",Micropolitan,2023,46145.0,3,
10480,"Alamosa, CO",Micropolitan,2024,46457.0,3,
10500,"Albany, GA",Metropolitan,2019,37905.0,4,
10500,"Albany, GA",Metropolitan,2020,42142.0,4,
10500,"Albany, GA",Metropolitan,2021,47051.0,4,
10500,"Albany, GA",Metropolitan,2022,46657.0,4,
10500,"Albany, GA",Metropolitan,2023,48350.0,4,
10500,"Albany, GA",Metropolitan,2024,50619.0,4,
10540,"Albany, OR",Metropolitan,2019,44306.0,1,
10540,"Albany, OR",Metropolitan,2020,48103.0,1,
10540,"Albany, OR",Metropolitan,2021,52402.0,1,
10540,"Albany, OR",Metropolitan,2022,53933.0,1,
10540,"Albany, OR",Metropolitan,2023,57419.0,1,
10540,"Albany, OR",Metropolitan,2024,59976.0,1,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2019,58358.0,5,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2020,62723.0,5,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2021,67134.0,5,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2022,68063.0,5,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2023,72862.0,5,
10580,"Albany-Schenectady-Troy, NY",Metropolitan,2024,76559.0,5,
10620,"Albemarle, NC",Micropolitan,2019,40243.0,1,
10620,"Albemarle, NC",Micropolitan,2020,43153.0,1,
10620,"Albemarle, NC",Micropolitan,2021,47824.0,1,
10620,"Albemarle, NC",Micropolitan,2022,48517.0,1,
10620,"Albemarle, NC",Micropolitan,2023,51374.0,1,
10620,"Albemarle, NC",Micropolitan,2024,54224.0,1,
10660,"Albert Lea, MN",Micropolitan,2019,44553.0,1,
10660,"Albert Lea, MN",Micropolitan,2020,48938.0,1,
10660,"Albert Lea, MN",Micropolitan,2021,54539.0,1,
10660,"Albert Lea, MN",Micropolitan,2022,55338.0,1,
10660,"Albert Lea, MN",Micropolitan,2023,56828.0,1,
10660,"Albert Lea, MN",Micropolitan,2024,59108.0,1,
10700,"Albertville, AL",Micropolitan,2019,37674.0,1,
10700,"Albertville, AL",Micropolitan,2020,41167.0,1,
10700,"Albertville, AL",Micropolitan,2021,46123.0,1,
10700,"Albertville, AL",Micropolitan,2022,47043.0,1,
10700,"Albertville, AL",Micropolitan,2023,48839.0,1,
10700,"Albertville, AL",Micropolitan,2024,51209.0,1,
10740,"Albuquerque, NM",Metropolitan,2019,44616.0,4,
10740,"Albuquerque, NM",Metropolitan,2020,48514.0,4,
10740,"Albuquerque, NM",Metropolitan,2021,52509.0,4,
10740,"Albuquerque, NM",Metropolitan,2022,54737.0,4,
10740,"Albuquerque, NM",Metropolitan,2023,57654.0,4,
10740,"Albuquerque, NM",Metropolitan,2024,60899.0,4,
10760,"Alexander City, AL",Micropolitan,2019,41816.0,1,
10760,"Alexander City, AL",Micropolitan,2020,44271.0,1,
10760,"Alexander City, AL",Micropolitan,2021,48838.0,1,
10760,"Alexander City, AL",Micropolitan,2022,49152.0,1,
10760,"Alexander City, AL",Micropolitan,2023,52576.0,1,
10760,"Alexander City, AL",Micropolitan,2024,55117.0,1,
10780,"Alexandria, LA",Metropolitan,2019,43553.0,2,
10780,"Alexandria, LA",Metropolitan,2020,47523.0,2,
10780,"Alexandria, LA",Metropolitan,2021,51125.0,2,
10780,"Alexandria, LA",Metropolitan,2022,51177.0,2,
10780,"Alexandria, LA",Metropolitan,2023,53504.0,2,
10780,"Alexandria, LA",Metropolitan,2024,56163.0,2,
10820,"Alexandria, MN",Micropolitan,2019,51249.0,1,
10820,"Alexandria, MN",Micropolitan,2020,55851.0,1,
10820,"Alexandria, MN",Micropolitan,2021,61839.0,1,
10820,"Alexandria, MN",Micropolitan,2022,63595.0,1,
10820,"Alexandria, MN",Micropolitan,2023,66559.0,1,
10820,"Alexandria, MN",Micropolitan,2024,69260.0,1,
10860,"Alice, TX",Micropolitan,2019,42221.0,2,
10860,"Alice, TX",Micropolitan,2020,45373.0,2,
10860,"Alice, TX",Micropolitan,2021,47375.0,2,
10860,"Alice, TX",Micropolitan,2022,48542.0,2,
10860,"Alice, TX",Micropolitan,2023,50826.0,2,
10860,"Alice, TX",Micropolitan,2024,51935.0,2,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2019,54955.0,4,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2020,58623.0,4,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2021,62026.0,4,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2022,62547.0,4,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2023,65220.0,4,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,2024,67565.0,4,
10940,"Alma, MI",Micropolitan,2019,36084.0,1,
10940,"Alma, MI",Micropolitan,2020,41331.0,1,
10940,"Alma, MI",Micropolitan,2021,44198.0,1,
10940,"Alma, MI",Micropolitan,2022,44047.0,1,
10940,"Alma, MI",Micropolitan,2023,45600.0,1,
10940,"Alma, MI",Micropolitan,2024,46618.0,1,
10980,"Alpena, MI",Micropolitan,2019,40432.0,1,
10980,"Alpena, MI",Micropolitan,2020,45054.0,1,
10980,"Alpena, MI",Micropolitan,2021,48773.0,1,
10980,"Alpena, MI",Micropolitan,2022,48865.0,1,
10980,"Alpena, MI",Micropolitan,2023,51327.0,1,
10980,"Alpena, MI",Micropolitan,2024,54180.0,1,
11020,"Altoona, PA",Metropolitan,2019,46395.0,1,
11020,"Altoona, PA",Metropolitan,2020,50824.0,1,
11020,"Altoona, PA",Metropolitan,2021,55022.0,1,
11020,"Altoona, PA",Metropolitan,2022,54872.0,1,
11020,"Altoona, PA",Metropolitan,2023,57821.0,1,
11020,"Altoona, PA",Metropolitan,2024,60198.0,1,
11060,"Altus, OK",Micropolitan,2019,42435.0,1,
11060,"Altus, OK",Micropolitan,2020,45197.0,1,
11060,"Altus, OK",Micropolitan,2021,49894.0,1,
11060,"Altus, OK",Micropolitan,2022,51785.0,1,
11060,"Altus, OK",Micropolitan,2023,53758.0,1,
11060,"Altus, OK",Micropolitan,2024,55896.0,1,
11100,"Amarillo, TX",Metropolitan,2019,48372.0,5,
11100,"Amarillo, TX",Metropolitan,2020,51750.0,5,
11100,"Amarillo, TX",Metropolitan,2021,56071.0,5,
11100,"Amarillo, TX",Metropolitan,2022,57320.0,5,
11100,"Amarillo, TX",Metropolitan,2023,59450.0,5,
11100,"Amarillo, TX",Metropolitan,2024,61721.0,5,
11140,"Americus, GA",Micropolitan,2019,36688.0,2,
11140,"Americus, GA",Micropolitan,2020,40219.0,2,
11140,"Americus, GA",Micropolitan,2021,43934.0,2,
11140,"Americus, GA",Micropolitan,2022,43730.0,2,
11140,"Americus, GA",Micropolitan,2023,45177.0,2,
11140,"Americus, GA",Micropolitan,2024,45950.0,2,
11180,"Ames, IA",Metropolitan,2019,44051.0,2,
11180,"Ames, IA",Metropolitan,2020,46005.0,2,
11180,"Ames, IA",Metropolitan,2021,49464.0,2,
11180,"Ames, IA",Metropolitan,2022,53126.0,2,
11180,"Ames, IA",Metropolitan,2023,55184.0,2,
11180,"Ames, IA",Metropolitan,2024,56841.0,2,
11200,"Amherst Town-Northampton, MA",Metropolitan,2019,54304.0,1,
11200,"Amherst Town-Northampton, MA",Metropolitan,2020,63021.0,1,
11200,"Amherst Town-Northampton, MA",Metropolitan,2021,59064.0,1,
11200,"Amherst Town-Northampton, MA",Metropolitan,2022,59187.0,1,
11200,"Amherst Town-Northampton, MA",Metropolitan,2023,62818.0,1,
11200,"Amherst Town-Northampton, MA",Metropolitan,2024,65432.0,1,
11220,"Amsterdam, NY",Micropolitan,2019,41971.0,1,
11220,"Amsterdam, NY",Micropolitan,2020,46509.0,1,
11220,"Amsterdam, NY",Micropolitan,2021,48208.0,1,
11220,"Amsterdam, NY",Micropolitan,2022,48622.0,1,
11220,"Amsterdam, NY",Micropolitan,2023,51132.0,1,
11220,"Amsterdam, NY",Micropolitan,2024,53879.0,1,
11260,"Anchorage, AK",Metropolitan,2019,62030.0,2,
11260,"Anchorage, AK",Metropolitan,2020,63734.0,2,
11260,"Anchorage, AK",Metropolitan,2021,67449.0,2,
11260,"Anchorage, AK",Metropolitan,2022,71325.0,2,
11260,"Anchorage, AK",Metropolitan,2023,74530.0,2,
11260,"Anchorage, AK",Metropolitan,2024,78485.0,2,
11360,"Anderson Creek, NC",Micropolitan,2019,36560.0,1,
11360,"Anderson Creek, NC",Micropolitan,2020,39401.0,1,
11360,"Anderson Creek, NC",Micropolitan,2021,44414.0,1,
11360,"Anderson Creek, NC",Micropolitan,2022,45744.0,1,
11360,"Anderson Creek, NC",Micropolitan,2023,47780.0,1,
11360,"Anderson Creek, NC",Micropolitan,2024,50128.0,1,
