fips,county_name,state_name,popestimate2020,popestimate2025,domesticmig_2021_2025,netmig_2021_2025,births_2021_2025,deaths_2021_2025
01001,Autauga County,Alabama,58914,61920,2183,2542,3616,3183
01003,Baldwin County,Alabama,233252,267761,32909,36141,12342,14241
01005,Barbour County,Alabama,24958,24607,-268,0,1344,1698
01007,Bibb County,Alabama,22181,22262,290,363,1218,1513
01009,Blount County,Alabama,59099,60156,1560,1704,3377,4062
01011,Bullock County,Alabama,10239,9780,-292,-232,510,739
01013,Butler County,Alabama,19022,18100,-507,-438,1009,1489
01015,Calhoun County,Alabama,116238,115834,1617,1951,6440,8844
01017,Chambers County,Alabama,34581,34253,-528,229,2023,2587
01019,Cherokee County,Alabama,24978,26413,2312,2437,1091,2134
01021,Chilton County,Alabama,45053,47708,2202,2794,2878,3048
01023,Choctaw County,Alabama,12623,11904,-314,-311,591,998
01025,Clarke County,Alabama,22982,22014,-504,-490,1364,1845
01027,Clay County,Alabama,14216,14207,338,337,773,1118
01029,Cleburne County,Alabama,15062,15970,1249,1262,857,1228
01031,Coffee County,Alabama,53571,56953,2486,3264,3369,3272
01033,Colbert County,Alabama,57306,59474,2551,3033,3265,4144
01035,Conecuh County,Alabama,11554,10899,-151,-124,589,1119
01037,Coosa County,Alabama,10338,10161,299,290,396,862
01039,Covington County,Alabama,37508,37947,1405,1467,2216,3259
01041,Crenshaw County,Alabama,13174,13175,130,256,852,1104
01043,Cullman County,Alabama,88128,94009,6699,6997,5109,6223
01045,Dale County,Alabama,49266,49912,304,556,3322,3256
01047,Dallas County,Alabama,38176,35140,-2688,-2357,2169,2862
01049,DeKalb County,Alabama,71662,74085,1968,3086,4164,4835
01051,Elmore County,Alabama,87866,91577,3820,4080,4602,4991
01053,Escambia County,Alabama,36685,36665,711,732,2131,2894
01055,Etowah County,Alabama,103441,103886,2246,2834,5804,8235
01057,Fayette County,Alabama,16331,15872,63,54,861,1375
01059,Franklin County,Alabama,32088,32449,-383,513,2117,2276
01061,Geneva County,Alabama,26698,27554,1442,1682,1480,2326
01063,Greene County,Alabama,7701,7067,-418,-419,433,653
01065,Hale County,Alabama,14768,15194,510,512,1015,1107
01067,Henry County,Alabama,17172,18394,1545,1632,889,1296
01069,Houston County,Alabama,107306,110318,2453,3397,6492,6938
01071,Jackson County,Alabama,52542,54281,3001,3212,2837,4330
01073,Jefferson County,Alabama,674720,665742,-17523,-7774,39628,40798
01075,Lamar County,Alabama,13946,13587,30,27,778,1148
01077,Lauderdale County,Alabama,94032,97135,4508,4892,4674,6510
01079,Lawrence County,Alabama,33085,33843,1371,1420,1830,2515
01081,Lee County,Alabama,174838,189881,7758,12317,9530,6907
01083,Limestone County,Alabama,104193,122928,17175,18060,6196,5639
01085,Lowndes County,Alabama,10281,9359,-581,-565,583,924
01087,Macon County,Alabama,19464,18132,-1066,-940,851,1216
01089,Madison County,Alabama,390515,433516,33903,40228,22402,19869
01091,Marengo County,Alabama,19266,18311,-535,-410,1032,1563
01093,Marion County,Alabama,29192,29097,539,620,1586,2322
01095,Marshall County,Alabama,97696,103537,2880,5109,7483,6835
01097,Mobile County,Alabama,414414,411658,-4713,-2247,25325,25779
01099,Monroe County,Alabama,19707,18965,-328,-311,1107,1541
01101,Montgomery County,Alabama,228345,225891,-8880,-4268,14566,12732
01103,Morgan County,Alabama,123321,126483,2105,3724,7404,8033
01105,Perry County,Alabama,8455,7425,-770,-728,429,758
01107,Pickens County,Alabama,18956,18221,-290,-213,933,1462
01109,Pike County,Alabama,32906,33688,456,877,1846,1956
01111,Randolph County,Alabama,22097,23163,1474,1537,1252,1748
01113,Russell County,Alabama,59251,58898,-208,42,3493,3844
01115,St. Clair County,Alabama,91703,98206,7227,7363,5147,6058
01117,Shelby County,Alabama,223898,238552,9527,12385,11746,9375
01119,Sumter County,Alabama,12193,11588,-448,-399,598,787
01121,Talladega County,Alabama,81390,81603,1518,1780,4318,5920
01123,Tallapoosa County,Alabama,41292,40953,615,808,2021,3172
01125,Tuscaloosa County,Alabama,232604,241368,4159,7125,12530,10572
01127,Walker County,Alabama,65147,65140,1520,1920,3967,5910
01129,Washington County,Alabama,15334,14822,-279,-278,897,1127
01131,Wilcox County,Alabama,10539,9666,-666,-627,578,834
01133,Winston County,Alabama,23503,23829,880,1006,1271,1949
02013,Aleutians East Borough,Alaska,3425,3479,-273,52,61,69
02016,Aleutians West Census Area,Alaska,5177,5240,-516,49,104,96
02020,Anchorage Municipality,Alaska,290877,287155,-15941,-10293,17989,11402
02050,Bethel Census Area,Alaska,18672,18391,-1683,-1530,1968,740
02060,Bristol Bay Borough,Alaska,827,847,-32,18,44,45
02063,Chugach Census Area,Alaska,7082,6553,-650,-619,332,247
02066,Copper River Census Area,Alaska,2616,2666,27,27,139,117
02068,Denali Borough,Alaska,1612,1616,-65,-43,87,40
02070,Dillingham Census Area,Alaska,4839,4483,-512,-465,366,256
02090,Fairbanks North Star Borough,Alaska,95333,93972,-5799,-4879,6714,3181
02100,Haines Borough,Alaska,2089,2068,-37,-22,90,90
02105,Hoonah-Angoon Census Area,Alaska,2362,2271,-81,-75,104,126
02110,Juneau City and Borough,Alaska,32204,31609,-1280,-919,1430,1113
02122,Kenai Peninsula Borough,Alaska,58939,61951,2282,2428,3147,2556
02130,Ketchikan Gateway Borough,Alaska,13913,13549,-593,-441,633,557
02150,Kodiak Island Borough,Alaska,13046,12387,-1371,-958,724,432
02158,Kusilvak Census Area,Alaska,8367,7932,-1191,-1190,1106,363
02164,Lake and Peninsula Borough,Alaska,1447,1357,-150,-136,106,62
02170,Matanuska-Susitna Borough,Alaska,107514,118666,8544,8807,6738,4340
02180,Nome Census Area,Alaska,10025,9830,-681,-629,881,449
02185,North Slope Borough,Alaska,11000,10582,-836,-711,617,338
02188,Northwest Arctic Borough,Alaska,7797,7095,-1034,-1039,709,371
02195,Petersburg Borough,Alaska,3397,3394,-77,-7,139,132
02198,Prince of Wales-Hyder Census Area,Alaska,5745,5777,47,67,309,348
02220,Sitka City and Borough,Alaska,8430,8319,-289,-180,426,351
02230,Skagway Municipality,Alaska,1237,1104,-143,-124,34,42
02240,Southeast Fairbanks Census Area,Alaska,6825,7270,123,243,498,293
02275,Wrangell City and Borough,Alaska,2126,2007,-82,-72,88,132
02282,Yakutat City and Borough,Alaska,682,672,-5,-3,20,25
02290,Yukon-Koyukuk Census Area,Alaska,5301,5028,-275,-178,283,383
04001,Apache County,Arizona,65913,64445,-549,-186,3761,5060
04003,Cochise County,Arizona,125527,126332,1903,2873,6183,8275
04005,Coconino County,Arizona,145182,144368,-3436,-1782,6538,5509
04007,Gila County,Arizona,53338,53801,2828,2855,2287,4689
04009,Graham County,Arizona,38626,40157,894,1035,2364,1930
04011,Greenlee County,Arizona,9531,9312,-469,-326,542,429
04012,La Paz County,Arizona,16562,16711,872,1264,787,1951
04013,Maricopa County,Arizona,4445025,4689558,76991,194770,251727,202190
04015,Mohave County,Arizona,214167,228102,25261,25681,8617,20639
04017,Navajo County,Arizona,106748,109946,4364,4760,6220,7777
04019,Pima County,Arizona,1045245,1074685,20589,38845,49911,59956
04021,Pinal County,Arizona,430231,539380,95001,104832,25795,21909
04023,Santa Cruz County,Arizona,47711,50020,-83,1412,2870,1983
04025,Yavapai County,Arizona,237223,252552,24565,25784,8753,19098
04027,Yuma County,Arizona,205618,224449,4031,14346,14417,10161
05001,Arkansas County,Arkansas,17106,15836,-768,-754,981,1479
05003,Ashley County,Arkansas,18959,17831,-597,-586,925,1456
05005,Baxter County,Arkansas,41692,42982,3836,3798,1755,4286
