CERT,YEAR,UNINUMBR,STALPBR,CNTYNAMB,STCNTYBR,DEPSUMBR
35583,2020,82012,TN,Davidson,47037,8269186
35583,2020,360670,TN,Williamson,47187,422826
35583,2020,276635,TN,Bedford,47003,97854
35583,2020,442943,SC,Charleston,45019,74615
35583,2020,449870,SC,Charleston,45019,45349
35583,2020,541044,SC,Charleston,45019,29877
35583,2020,568565,NC,Forsyth,37067,289081
35583,2020,55597,VA,Roanoke,51161,440500
35583,2020,290310,VA,Roanoke,51161,78457
35583,2020,290311,VA,Roanoke (City),51770,35093
35583,2020,290312,VA,Salem (City),51775,99163
35583,2020,361214,VA,Roanoke (City),51770,22148
35583,2020,364509,VA,Roanoke,51161,27630
35583,2020,440230,VA,Roanoke,51161,19889
35583,2020,557535,VA,Roanoke,51161,29390
35583,2020,445631,SC,Greenville,45045,24043
35583,2020,447216,SC,Spartanburg,45083,61488
35583,2020,468534,SC,Greenville,45045,22963
35583,2020,559631,SC,Greenville,45045,21844
35583,2020,573464,SC,Pickens,45077,51772
35583,2020,276637,TN,Rutherford,47149,13499
35583,2020,61547,SC,Charleston,45019,349735
35583,2020,364149,SC,Charleston,45019,39075
35583,2020,364151,SC,Charleston,45019,33388
35583,2020,429964,SC,Berkeley,45015,65365
35583,2020,442311,SC,Berkeley,45015,26643
35583,2020,453052,SC,Dorchester,45035,20037
35583,2020,466505,SC,Charleston,45019,43930
35583,2020,276638,TN,Rutherford,47149,58203
35583,2020,581995,NC,Union,37179,77702
35583,2020,7799,NC,Guilford,37081,598665
35583,2020,226808,NC,Guilford,37081,66564
35583,2020,226810,NC,Guilford,37081,0
35583,2020,419422,NC,Guilford,37081,0
35583,2020,493995,NC,Guilford,37081,30245
35583,2020,276639,TN,Rutherford,47149,101405
35583,2020,589565,TN,Hamilton,47065,32628
35583,2020,226809,NC,Guilford,37081,74684
35583,2020,226811,NC,Guilford,37081,39810
35583,2020,590335,NC,Wake,37183,385925
35583,2020,592414,TN,Davidson,47037,351674
35583,2020,592416,TN,Shelby,47157,1014731
35583,2020,596457,NC,Mecklenburg,37119,122786
35583,2020,276640,TN,Rutherford,47149,75798
35583,2020,356490,TN,Rutherford,47149,52861
35583,2020,612658,TN,Shelby,47157,4569
35583,2020,618551,TN,Hamilton,47065,5636
35583,2020,624952,GA,Cobb,13067,29041
35583,2020,625133,VA,Bedford,51019,12060
35583,2020,419556,TN,Rutherford,47149,53256
35583,2020,461756,TN,Davidson,47037,132321
35583,2020,466479,TN,Knox,47093,1490705
35583,2020,358590,TN,Wilson,47189,136833
35583,2020,362602,TN,Wilson,47189,39482
35583,2020,419806,TN,Rutherford,47149,66978
35583,2020,449793,TN,Wilson,47189,255556
35583,2020,362594,TN,Cheatham,47021,156793
35583,2020,418783,TN,Davidson,47037,386193
35583,2020,419236,TN,Dickson,47043,80148
35583,2020,423106,TN,Williamson,47187,198121
35583,2020,473709,TN,Davidson,47037,166891
35583,2020,498650,TN,Knox,47093,111304
35583,2020,500165,TN,Davidson,47037,213172
35583,2020,500307,TN,Knox,47093,152297
35583,2020,508305,TN,Davidson,47037,75893
35583,2020,423016,TN,Williamson,47187,295677
35583,2020,539327,TN,Knox,47093,61162
35583,2020,563188,TN,Knox,47093,59229
35583,2020,454896,TN,Hamilton,47065,1248756
35583,2020,540733,TN,Bradley,47011,168104
35583,2020,540734,TN,Anderson,47001,134886
35583,2020,461759,TN,Shelby,47157,43848
35583,2020,431720,TN,Davidson,47037,400340
35583,2020,492565,TN,Shelby,47157,60219
35583,2020,492566,TN,Shelby,47157,55408
35583,2020,518104,TN,Shelby,47157,47083
35583,2020,465213,TN,Davidson,47037,42947
35583,2020,493044,TN,Davidson,47037,413524
35583,2020,585478,TN,Blount,47009,125331
35583,2020,438932,TN,Williamson,47187,158066
35583,2020,47377,NC,Davidson,37057,543523
35583,2020,289721,NC,Randolph,37151,81803
35583,2020,289722,NC,Davidson,37057,48120
35583,2020,57788,NC,Forsyth,37067,58317
35583,2020,448965,NC,Cabarrus,37025,67445
35583,2020,448966,NC,Rowan,37159,65210
35583,2020,453832,NC,Davidson,37057,58582
35583,2020,419007,NC,Guilford,37081,280819
35583,2020,479331,NC,Forsyth,37067,13462
35583,2020,483140,NC,Guilford,37081,125458
35583,2020,495652,NC,Cabarrus,37025,116353
35583,2020,57001,SC,Horry,45051,168245
35583,2020,360615,SC,Horry,45051,46300
35583,2020,419024,SC,Horry,45051,36975
35583,2020,441936,SC,Beaufort,45013,57634
35583,2020,518772,NC,Wake,37183,53614
35583,2020,521471,NC,Mecklenburg,37119,362221
35583,2020,473492,SC,Greenville,45045,185111
35583,2020,443463,TN,Sumner,47165,203251
35583,2020,528022,NC,Guilford,37081,172018
35583,2020,453047,NC,Durham,37063,87214
35583,2020,493434,NC,Wake,37183,23852
35583,2020,61926,NC,Mecklenburg,37119,195990
35583,2020,429530,NC,Iredell,37097,191807
35583,2020,541813,NC,Buncombe,37021,39058
35583,2020,15880,NC,Randolph,37151,155816
35583,2020,255208,NC,Randolph,37151,64432
35583,2020,42478,TN,Rutherford,47149,908556
35583,2020,468315,NC,Alamance,37001,70424
35583,2020,551268,NC,Wake,37183,22419
35583,2020,43502,NC,Stanly,37167,172219
35583,2020,281400,NC,Stanly,37167,79245
35583,2020,360320,NC,Durham,37063,97664
35583,2020,468142,NC,Orange,37135,74688
