cert,year,county_fips,branches,deposits_kusd
873,1994,13053,14,21836
873,1994,13193,2,28661
873,1994,13197,1,21112
873,1994,13199,2,49215
873,1994,13215,18,791821
873,1995,13053,14,25315
873,1995,13193,2,27780
873,1995,13197,1,21741
873,1995,13199,2,49423
873,1995,13215,18,982409
873,1996,13053,14,23833
873,1996,13193,2,29428
873,1996,13197,1,22564
873,1996,13199,2,50524
873,1996,13215,18,1071603
873,1997,13053,4,25848
873,1997,13193,2,30311
873,1997,13197,1,23766
873,1997,13199,2,53207
873,1997,13215,18,1141961
873,1998,13053,4,28577
873,1998,13193,2,29843
873,1998,13197,1,25189
873,1998,13199,2,55655
873,1998,13215,19,1114374
873,1999,13053,4,26499
873,1999,13193,2,35360
873,1999,13197,1,25314
873,1999,13199,2,55834
873,1999,13215,17,1348778
873,2000,13053,4,28695
873,2000,13193,2,39845
873,2000,13197,1,24647
873,2000,13215,17,1531552
873,2001,13053,3,27622
873,2001,13193,1,0
873,2001,13215,17,1832724
873,2002,13053,3,23807
873,2002,13215,16,1957936
873,2003,13053,1,34997
873,2003,13215,17,2103350
873,2004,13053,1,31820
873,2004,13215,17,2514746
873,2005,13053,1,31288
873,2005,13215,17,2712594
873,2006,13053,1,39379
873,2006,13215,18,2595582
873,2007,13053,1,51287
873,2007,13215,18,2870168
873,2008,13053,1,36848
873,2008,13215,18,2777887
873,2009,13053,1,33435
873,2009,13215,18,3337701
873,2010,01001,1,33242
873,2010,01003,1,45894
873,2010,01031,1,134117
873,2010,01045,2,85893
873,2010,01069,2,91100
873,2010,01073,10,1760882
873,2010,01081,1,20523
873,2010,01089,6,599698
873,2010,01097,2,90438
873,2010,01101,3,513485
873,2010,01113,4,233875
873,2010,01117,4,152190
873,2010,01125,6,432346
873,2010,01127,8,508360
873,2010,12019,1,7254
873,2010,12021,1,112278
873,2010,12031,4,198036
873,2010,12033,9,836257
873,2010,12057,2,36533
873,2010,12071,2,45626
873,2010,12073,4,326781
873,2010,12081,2,53795
873,2010,12089,2,232626
873,2010,12091,11,405889
873,2010,12101,3,94533
873,2010,12103,10,542379
873,2010,12113,5,120749
873,2010,12115,4,95616
873,2010,12131,1,18100
873,2010,13015,1,22938
873,2010,13031,4,369104
873,2010,13039,2,56911
873,2010,13043,1,49325
873,2010,13045,6,241964
873,2010,13051,5,189686
873,2010,13053,1,32866
873,2010,13057,2,254901
873,2010,13059,6,610539
873,2010,13063,1,21346
873,2010,13067,5,585861
873,2010,13073,1,93473
873,2010,13077,6,288118
873,2010,13089,2,149270
873,2010,13095,3,246638
873,2010,13097,3,128613
873,2010,13113,3,123213
873,2010,13115,2,274301
873,2010,13117,2,112911
873,2010,13119,1,29221
873,2010,13121,6,1603139
873,2010,13127,5,349407
873,2010,13129,3,355718
873,2010,13135,4,242793
873,2010,13143,2,76474
873,2010,13147,1,82752
873,2010,13151,2,31309
873,2010,13153,5,298973
873,2010,13177,2,109363
873,2010,13185,4,529096
873,2010,13213,2,155803
873,2010,13215,18,3915467
873,2010,13217,3,206568
873,2010,13219,3,109558
873,2010,13223,1,34781
873,2010,13225,2,113048
873,2010,13227,1,51516
873,2010,13245,1,61599
873,2010,13247,2,46988
873,2010,13261,3,157423
873,2010,13275,3,383215
873,2010,13277,3,327073
873,2010,13285,5,250007
873,2010,13295,2,50114
873,2010,13297,3,245530
873,2010,13313,2,67819
873,2010,45007,1,28196
873,2010,45013,2,102705
873,2010,45015,2,106700
873,2010,45019,7,547043
873,2010,45027,1,78169
873,2010,45035,1,44985
873,2010,45041,2,66406
873,2010,45043,1,23085
873,2010,45045,4,198394
873,2010,45051,4,307425
873,2010,45055,1,76463
873,2010,45061,1,60622
873,2010,45063,2,67457
873,2010,45079,9,1570342
873,2010,45083,2,139244
873,2010,45085,4,280895
873,2010,45091,1,33786
873,2010,47037,6,409447
873,2010,47065,4,53052
873,2010,47149,1,5363
873,2010,47157,9,280021
873,2010,47165,1,26016
873,2010,47187,2,64449
873,2011,01001,1,33372
873,2011,01003,1,63242
873,2011,01031,1,140245
873,2011,01045,1,63000
873,2011,01069,2,74376
873,2011,01073,9,1133427
873,2011,01081,1,12057
873,2011,01089,5,501553
873,2011,01097,2,53728
873,2011,01101,3,462197
873,2011,01113,3,146402
873,2011,01117,4,135138
873,2011,01125,6,427298
873,2011,01127,7,445693
873,2011,12019,1,7405
873,2011,12021,1,85720
873,2011,12031,4,135290
873,2011,12033,9,467842
873,2011,12057,2,41760
873,2011,12071,1,26576
873,2011,12073,4,255351
873,2011,12081,2,55562
873,2011,12089,2,189890
873,2011,12091,9,454247
873,2011,12101,3,108182
873,2011,12103,8,472341
873,2011,12113,5,129747
873,2011,12115,4,108144
873,2011,13015,1,28385
873,2011,13031,4,261349
873,2011,13039,2,59303
873,2011,13043,1,50451
873,2011,13045,6,266002
873,2011,13051,4,183795
873,2011,13053,1,28737
873,2011,13057,2,243858
