county_fips,year,market_deposits_kusd,market_branches,n_institutions
01001,2020,732847,16,11
01003,2020,5414793,91,26
01031,2020,731577,12,9
01045,2020,374290,10,8
01069,2020,3270595,35,14
01073,2020,45637353,195,38
01083,2020,925478,18,11
01089,2020,9532418,101,29
01097,2020,8576702,113,24
01101,2020,7518362,62,20
01103,2020,2351959,33,14
01113,2020,698986,12,6
01117,2020,4021110,54,22
01125,2020,4094176,51,19
01127,2020,1073221,18,10
06059,2020,153563134,624,75
12009,2020,10425094,102,16
12011,2020,63608191,433,45
12015,2020,4444111,51,14
12021,2020,20113515,140,33
12031,2020,85424108,166,24
12033,2020,5899487,55,19
12051,2020,521118,7,4
12057,2020,37947605,280,49
12061,2020,5305113,44,15
12071,2020,18590287,184,30
12073,2020,8612386,72,17
12081,2020,8344595,111,21
12085,2020,6177515,47,15
12086,2020,152518507,629,57
12089,2020,1252666,19,11
12091,2020,4640232,65,22
12095,2020,39553229,277,36
12099,2020,61150461,435,49
12101,2020,6909434,85,17
12103,2020,53448759,274,32
12109,2020,5588837,58,17
12111,2020,4770638,52,11
12113,2020,1729505,26,14
12115,2020,16781438,154,35
12117,2020,10841674,106,24
12127,2020,10707537,119,19
13015,2020,1660069,20,12
13021,2020,3789667,42,15
13031,2020,1464801,17,11
13039,2020,327212,7,5
13043,2020,241876,6,5
13045,2020,2302231,20,9
13051,2020,7227981,79,20
13053,2020,102549,2,2
13057,2020,4040066,45,15
13059,2020,3574335,30,14
13067,2020,18247309,163,23
13073,2020,2802024,30,14
13077,2020,1832029,26,14
13089,2020,14103508,130,26
13095,2020,1673951,16,9
13097,2020,2121572,27,13
13113,2020,2889099,29,12
13115,2020,1870829,19,9
13117,2020,5675876,54,18
13121,2020,104737413,277,47
13127,2020,2379808,32,13
13129,2020,987695,14,10
13135,2020,20080526,182,32
13143,2020,648272,7,4
13147,2020,425633,6,5
13151,2020,2671596,36,14
13153,2020,1857186,25,11
13177,2020,512766,9,7
13185,2020,2482750,35,15
13213,2020,330066,5,4
13215,2020,11410642,36,10
13217,2020,1163609,14,9
13219,2020,1237257,15,11
13223,2020,1284684,16,10
13225,2020,313475,6,3
13227,2020,865449,10,7
13245,2020,3838051,39,13
13247,2020,1967703,18,12
13261,2020,616995,7,5
13275,2020,1556848,10,6
13277,2020,1143918,13,7
13285,2020,1229565,19,9
13295,2020,511625,10,7
13297,2020,1153691,15,11
13313,2020,2249092,22,9
18173,2020,910125,18,11
21111,2020,26829521,222,28
21227,2020,2968557,56,20
24027,2020,9365146,71,17
24031,2020,49927511,278,27
28033,2020,3349295,62,18
37001,2020,2581225,37,16
37021,2020,6429462,75,17
37025,2020,2916078,40,11
37037,2020,714563,16,9
37057,2020,2603432,26,10
37063,2020,15659844,53,11
37067,2020,9170376,90,17
37081,2020,12387841,117,22
37097,2020,3716116,48,20
37119,2020,316499344,232,31
37135,2020,3244401,27,9
37147,2020,2955185,39,15
37151,2020,1789034,28,11
37159,2020,1602114,27,13
37167,2020,1145113,19,7
37179,2020,2834862,39,12
37183,2020,31992044,247,33
45013,2020,5035647,57,19
45015,2020,1484951,29,13
45019,2020,14108198,125,28
45027,2020,373768,7,5
45035,2020,1876289,35,17
45041,2020,2830178,41,14
45045,2020,14315880,146,30
45051,2020,8067057,112,20
45055,2020,838332,14,8
45061,2020,140487,4,4
45063,2020,5178092,64,17
45077,2020,2388984,30,15
45079,2020,17741864,84,20
45083,2020,5676332,64,17
