county_fips,year,cert,deposits
01001,2020,58255,175675
01001,2020,12368,119105
01001,2020,4988,113540
01001,2020,12441,73464
01001,2020,873,62921
01003,2020,12368,1074181
01003,2020,3511,537581
01003,2020,19048,490241
01003,2020,11241,469916
01003,2020,6384,446901
01031,2020,873,175349
01031,2020,16369,130524
01031,2020,5598,117383
01031,2020,3511,100259
01031,2020,12368,99066
01045,2020,17975,97152
01045,2020,873,85064
01045,2020,3511,83367
01045,2020,21292,46575
01045,2020,9846,30513
01069,2020,57993,712966
01069,2020,12368,538684
01069,2020,19048,518808
01069,2020,3511,414653
01069,2020,2777,239388
01073,2020,12368,14430617
01073,2020,19048,13409766
01073,2020,3511,3975080
01073,2020,57993,3881894
01073,2020,873,1999633
01083,2020,12368,244784
01083,2020,15572,194381
01083,2020,4988,140773
01083,2020,16604,126272
01083,2020,19048,107205
01089,2020,12368,2169924
01089,2020,19048,1124063
01089,2020,57993,1065205
01089,2020,873,908412
01089,2020,3511,638527
01097,2020,12368,2674571
01097,2020,12441,1041786
01097,2020,19048,990048
01097,2020,6384,783970
01097,2020,3511,720901
01101,2020,12368,1635711
01101,2020,19048,1594868
01101,2020,57993,906182
01101,2020,873,900536
01101,2020,3511,768906
01103,2020,12368,582321
01103,2020,12437,359362
01103,2020,16604,234452
01103,2020,19048,224021
01103,2020,58719,220700
01113,2020,873,254843
01113,2020,41,171078
01113,2020,3511,107906
01113,2020,12368,100955
01113,2020,9846,63720
01117,2020,12368,1361933
01117,2020,3511,520790
01117,2020,72,341756
01117,2020,19048,298240
01117,2020,12437,269933
01125,2020,12368,803060
01125,2020,57997,772589
01125,2020,873,517316
01125,2020,58463,353576
01125,2020,4999,299434
01127,2020,873,490999
01127,2020,29548,157935
01127,2020,19048,94710
01127,2020,57640,69921
01127,2020,3511,62830
06059,2020,3510,27145268
06059,2020,3511,26711961
06059,2020,628,21480875
06059,2020,32172,8299699
06059,2020,22826,7633542
12009,2020,9846,1999717
12009,2020,3511,1984025
12009,2020,3510,1979077
12009,2020,628,1320786
12009,2020,18409,897531
12011,2020,3510,14428435
12011,2020,3511,11937969
12011,2020,9846,8148356
12011,2020,628,6945277
12011,2020,7213,3580000
12015,2020,3510,920301
12015,2020,3511,829280
12015,2020,9846,690338
12015,2020,27086,390493
12015,2020,873,345742
12021,2020,17534,2953936
12021,2020,6672,2428435
12021,2020,3510,2388611
12021,2020,3511,2170686
12021,2020,58532,1487850
12031,2020,3510,41809312
12031,2020,34775,28107438
12031,2020,3511,4891775
12031,2020,19048,2499249
12031,2020,9846,2170959
12033,2020,12441,1148921
12033,2020,12368,840399
12033,2020,3510,711177
12033,2020,873,674185
12033,2020,3511,583507
12051,2020,9620,270834
12051,2020,873,90523
12051,2020,33555,82975
12051,2020,131,76786
12057,2020,9846,7135052
12057,2020,3510,6769458
12057,2020,3511,5683419
12057,2020,628,2331159
12057,2020,6672,1945849
12061,2020,3511,944117
12061,2020,3510,909214
12061,2020,6384,798057
12061,2020,913,404912
12061,2020,131,353682
12071,2020,9846,3099620
12071,2020,3511,2832566
12071,2020,3510,2813418
12071,2020,6672,1423601
12071,2020,628,1190562
12073,2020,9846,1993157
12073,2020,3511,1294270
12073,2020,9622,1148163
12073,2020,3510,1087894
12073,2020,12368,547977
12081,2020,3510,2042491
12081,2020,9846,1122315
12081,2020,3511,1037991
12081,2020,628,750515
12081,2020,110,493967
12085,2020,131,1841016
12085,2020,3510,967469
12085,2020,3511,831446
12085,2020,9846,461897
12085,2020,33555,451810
12086,2020,3510,22636228
12086,2020,3511,18500689
12086,2020,628,14364305
12086,2020,7213,12767000
12086,2020,20234,11498657
12089,2020,31313,294043
12089,2020,3511,252415
12089,2020,873,162332
12089,2020,3510,153871
12089,2020,19048,109446
12091,2020,873,675706
12091,2020,12368,556186
12091,2020,3510,526818
12091,2020,12441,426968
12091,2020,17580,394684
12095,2020,9846,10162688
12095,2020,3510,6893121
12095,2020,3511,6615684
12095,2020,628,4006125
12095,2020,6672,1793265
12099,2020,3511,11273402
12099,2020,3510,10902719
12099,2020,628,7108351
12099,2020,6384,4998503
12099,2020,9846,4098647
12101,2020,9846,1502801
12101,2020,3510,1452620
12101,2020,3511,1336319
12101,2020,628,475835
12101,2020,12368,376624
12103,2020,33893,25557671
12103,2020,3510,5183819
12103,2020,3511,4513979
12103,2020,9846,3781085
12103,2020,12368,3021845
12109,2020,3510,1706824
12109,2020,3511,1018710
12109,2020,20504,575184
12109,2020,9846,543630
12109,2020,33555,393900
12111,2020,6384,702935
12111,2020,18409,677283
12111,2020,3510,626816
12111,2020,9846,542754
12111,2020,131,536769
12113,2020,12368,516910
12113,2020,873,176586
12113,2020,12441,176334
12113,2020,33555,152963
12113,2020,9846,152256
12115,2020,3510,2875496
12115,2020,3511,2482150
12115,2020,9846,2307506
12115,2020,628,1355901
12115,2020,6672,665448
12117,2020,3510,2136599
12117,2020,9846,1757614
12117,2020,3511,1312108
12117,2020,628,1268527
12117,2020,12368,545641
12127,2020,3511,2207810
12127,2020,9846,2019738
12127,2020,3510,1943343
12127,2020,18409,839337
12127,2020,628,488271
13015,2020,3511,284897
13015,2020,9846,259867
13015,2020,20504,176762
13015,2020,35236,171918
13015,2020,110,152658
13021,2020,4999,1032469
13021,2020,9846,986806
13021,2020,3510,605925
13021,2020,3511,307424
13021,2020,110,183122
13031,2020,873,511084
13031,2020,9846,232937
13031,2020,17910,195026
13031,2020,12437,169326
13031,2020,3511,162189
13039,2020,20504,125277
13039,2020,873,77974
13039,2020,5685,60848
13039,2020,15699,42381
13039,2020,30846,20732
13043,2020,873,92911
13043,2020,15336,48755
13043,2020,15699,41622
13043,2020,2138,30177
13043,2020,9846,28411
13045,2020,110,673934
13045,2020,9846,503560
13045,2020,873,382987
13045,2020,16889,301847
13045,2020,12368,115593
13051,2020,9846,2002112
13051,2020,3511,1351995
13051,2020,3510,1185661
13051,2020,20504,489470
13051,2020,33555,484649
13053,2020,3511,61153
13053,2020,873,41396
13057,2020,3511,1120451
13057,2020,9846,504696
13057,2020,873,485952
13057,2020,12368,387468
13057,2020,3510,345135
13059,2020,873,1003477
13059,2020,3510,640516
13059,2020,9846,475012
13059,2020,3511,400176
13059,2020,16858,356041
13067,2020,3511,4399038
13067,2020,3510,3276155
13067,2020,9846,2624036
13067,2020,873,1197776
13067,2020,628,977740
13073,2020,3511,581237
13073,2020,33555,540337
13073,2020,2138,331941
13073,2020,9846,253362
13073,2020,12368,232260
13077,2020,9846,391127
13077,2020,873,327056
13077,2020,3510,244106
13077,2020,3511,206549
13077,2020,172,107937
13089,2020,3511,4159368
13089,2020,3510,3223633
13089,2020,9846,2322354
13089,2020,628,927014
13089,2020,20504,762963
13095,2020,20504,332632
13095,2020,12437,269473
13095,2020,58074,253269
13095,2020,12368,235575
13095,2020,9846,222468
13097,2020,873,393317
13097,2020,3511,298854
13097,2020,9846,288827
13097,2020,3510,254872
13097,2020,12368,228815
13113,2020,3511,579609
13113,2020,3510,560426
13113,2020,9846,489313
13113,2020,873,281060
13113,2020,16889,278062
13115,2020,873,353254
13115,2020,16889,312790
13115,2020,12368,237043
13115,2020,9846,215825
13115,2020,3511,190497
13117,2020,3511,1230233
13117,2020,9846,1143359
13117,2020,12368,513338
13117,2020,628,494858
13117,2020,3510,457397
13121,2020,3510,29832117
13121,2020,9846,27018470
13121,2020,3511,20171777
13121,2020,26342,4226375
13121,2020,628,3757215
13127,2020,9846,446390
13127,2020,20504,374157
13127,2020,873,277559
13127,2020,5694,256259
13127,2020,3510,251745
13129,2020,873,353100
13129,2020,9846,167853
13129,2020,34662,125711
13129,2020,3511,93880
13129,2020,34116,66718
13135,2020,3511,4408203
13135,2020,3510,3632206
13135,2020,9846,3015220
13135,2020,628,1101017
13135,2020,12437,1064403
13143,2020,110,228620
13143,2020,57686,218526
13143,2020,873,134840
13143,2020,9846,66286
13147,2020,15771,113298
13147,2020,873,109802
13147,2020,14065,104806
13147,2020,33555,57390
13147,2020,11063,40337
13151,2020,9846,539575
13151,2020,20504,515140
13151,2020,3511,484112
13151,2020,3510,338943
13151,2020,16889,247984
13153,2020,873,376546
13153,2020,9846,312591
13153,2020,4999,302950
13153,2020,3510,210751
13153,2020,17910,143808
13177,2020,873,241378
13177,2020,22257,110905
13177,2020,12437,55577
13177,2020,35320,48874
13177,2020,9846,34509
13185,2020,873,600462
13185,2020,57127,303930
13185,2020,3510,255749
13185,2020,110,176843
13185,2020,20504,166065
13213,2020,873,124828
13213,2020,22092,116620
13213,2020,110,52691
13213,2020,12368,35927
13215,2020,873,8662806
13215,2020,9846,1434474
13215,2020,3511,712204
13215,2020,3510,175644
13215,2020,58558,171412
13217,2020,29510,263533
13217,2020,9846,262939
13217,2020,873,230217
13217,2020,172,131814
13217,2020,14065,113514
13219,2020,18143,374425
13219,2020,873,336047
13219,2020,3510,165759
13219,2020,16418,119203
13219,2020,110,65068
13223,2020,12368,468327
13223,2020,9846,264733
13223,2020,3511,154922
13223,2020,3510,111203
13223,2020,873,74410
13225,2020,873,139746
13225,2020,9846,89930
13225,2020,16825,83799
13227,2020,35513,355850
13227,2020,11063,145605
13227,2020,12437,123033
13227,2020,16889,77611
13227,2020,110,58711
13245,2020,3511,1199451
13245,2020,33555,729381
13245,2020,3510,581904
13245,2020,9846,405913
13245,2020,2138,265381
13247,2020,9846,524359
13247,2020,873,417144
13247,2020,3511,265323
13247,2020,3510,239645
13247,2020,16889,182929
13261,2020,15477,312631
13261,2020,873,177585
13261,2020,3511,82471
13261,2020,19163,26838
13261,2020,21292,17470
13275,2020,34068,806503
13275,2020,873,293268
13275,2020,29331,218609
13275,2020,20504,103461
13275,2020,34217,68789
13277,2020,873,390809
13277,2020,20504,316609
13277,2020,20198,215915
13277,2020,9846,114466
13277,2020,22257,60264
13285,2020,873,327588
13285,2020,33555,249987
13285,2020,22257,138416
13285,2020,9846,121004
13285,2020,3510,116082
13295,2020,9245,256025
13295,2020,19272,92114
13295,2020,873,69998
13295,2020,2124,43249
13295,2020,2824,25812
13297,2020,873,409785
13297,2020,9846,186762
13297,2020,58274,147075
13297,2020,3511,111052
13297,2020,14065,88276
13313,2020,9846,532426
13313,2020,3511,449313
13313,2020,34116,357853
13313,2020,12368,238899
13313,2020,110,212928
18173,2020,3832,272386
18173,2020,13113,158654
18173,2020,6672,127686
18173,2020,4398,112749
18173,2020,17393,75021
21111,2020,6384,7144301
21111,2020,628,4713580
21111,2020,23627,3596583
21111,2020,6672,3085539
21111,2020,258,2574206
21227,2020,6548,501257
21227,2020,9846,495709
21227,2020,35568,446474
21227,2020,17393,275439
21227,2020,8136,243140
24027,2020,3510,2248945
24027,2020,588,1076318
24027,2020,6384,1026760
24027,2020,4865,897658
24027,2020,9846,786296
24031,2020,4297,10628737
24031,2020,3510,7276612
24031,2020,9846,6463438
24031,2020,4865,5623003
24031,2020,34742,3490203
28033,2020,11813,874411
28033,2020,4977,442803
28033,2020,12437,428455
28033,2020,12368,373424
28033,2020,4988,223946
37001,2020,9846,632634
37001,2020,3511,588503
37001,2020,6837,378198
37001,2020,4977,287748
37001,2020,3510,216776
37021,2020,3511,1432920
37021,2020,9846,1093542
37021,2020,11063,902701
37021,2020,3510,694811
37021,2020,15019,656514
37025,2020,3511,852547
37025,2020,6672,523919
37025,2020,9846,507497
37025,2020,24919,205331
37025,2020,35583,183798
37037,2020,9846,267569
37037,2020,6384,94698
37037,2020,11063,78037
37037,2020,3511,75958
37037,2020,4977,75854
37057,2020,9846,801450
37057,2020,35583,650225
37057,2020,7888,497814
37057,2020,3511,214534
37057,2020,15019,164294
37063,2020,24045,8717232
37063,2020,9846,3147483
37063,2020,3511,1853636
37063,2020,3510,629750
37063,2020,11063,391851
37067,2020,9846,2934942
37067,2020,3511,2698307
37067,2020,3510,742036
37067,2020,27619,592252
37067,2020,11063,556468
37081,2020,9846,3386893
37081,2020,3511,2826891
37081,2020,3510,1720452
37081,2020,35583,1388263
37081,2020,11063,683849
37097,2020,9846,786675
37097,2020,3511,748766
37097,2020,3510,495216
37097,2020,7888,322640
37097,2020,58691,220891
37119,2020,3510,200760965
37119,2020,9846,74669525
37119,2020,3511,30382014
37119,2020,6672,3393461
37119,2020,11063,1852174
37135,2020,9846,1061742
37135,2020,3510,793747
37135,2020,3511,760452
37135,2020,6384,215388
37135,2020,11063,162273
37147,2020,9846,670850
37147,2020,3511,493721
37147,2020,11063,384859
37147,2020,3510,331703
37147,2020,15359,245963
37151,2020,4977,373324
37151,2020,3511,320474
37151,2020,35583,302051
37151,2020,9846,236575
37151,2020,15019,185747
37159,2020,2036,486504
37159,2020,3511,282743
37159,2020,9846,250004
37159,2020,3510,100227
37159,2020,33555,93633
37167,2020,24919,381650
37167,2020,35583,251464
37167,2020,3511,177546
37167,2020,15019,155718
37167,2020,11063,102020
37179,2020,9846,1046856
37179,2020,3511,406001
37179,2020,11063,339120
37179,2020,6672,281624
37179,2020,3510,254378
37183,2020,3511,8237198
37183,2020,9846,6297993
37183,2020,3510,3833016
37183,2020,11063,3611894
37183,2020,6384,2722228
45013,2020,3511,863215
45013,2020,3510,750046
45013,2020,33555,616376
45013,2020,9846,603975
45013,2020,57756,563966
45015,2020,11063,254294
45015,2020,33555,243426
45015,2020,9846,202656
45015,2020,3511,201121
45015,2020,1660,160887
45019,2020,3511,3440078
45019,2020,3510,2341239
45019,2020,33555,1802545
45019,2020,9846,1183013
45019,2020,22858,687879
45027,2020,15671,179271
45027,2020,873,95402
45027,2020,15932,50362
45027,2020,11063,31675
45027,2020,28396,17058
45035,2020,3511,307401
45035,2020,3510,304453
45035,2020,33555,251079
45035,2020,11063,231871
45035,2020,9846,179633
45041,2020,3511,652168
45041,2020,9846,397791
45041,2020,33555,390292
45041,2020,35214,302436
45041,2020,11063,287431
45045,2020,3511,2335013
45045,2020,9846,2155120
45045,2020,18409,1968975
45045,2020,3510,1718296
45045,2020,35295,1105572
45051,2020,2102,1074943
45051,2020,9846,1045863
45051,2020,3511,759224
45051,2020,3510,742057
45051,2020,18409,587725
45055,2020,28396,259502
45055,2020,3510,181179
45055,2020,11063,139083
45055,2020,3511,90715
45055,2020,873,85461
45061,2020,873,75163
45061,2020,11063,41194
45061,2020,28396,16725
45061,2020,15932,7405
45063,2020,9846,1233998
45063,2020,3511,855026
45063,2020,3510,713728
45063,2020,34047,451399
45063,2020,11063,398698
45077,2020,9846,631054
45077,2020,3511,341946
45077,2020,3510,333024
45077,2020,11063,304608
45077,2020,33555,262104
45079,2020,3510,6316733
45079,2020,3511,5789876
45079,2020,11063,1420465
45079,2020,9846,1302184
45079,2020,873,989144
45083,2020,9846,1864380
45083,2020,11063,814739
45083,2020,3511,656411
45083,2020,3510,640696
45083,2020,6653,325554
45085,2020,873,389907
45085,2020,3511,215678
45085,2020,11063,176072
45085,2020,9846,149071
45085,2020,33555,56627
45091,2020,3511,793687
45091,2020,33555,756762
45091,2020,3510,528005
45091,2020,11063,415856
45091,2020,9846,308676
47001,2020,12368,319582
47001,2020,9846,165480
47001,2020,34023,137044
47001,2020,3510,136854
47001,2020,35583,134886
47003,2020,27211,450845
47003,2020,35604,135713
47003,2020,12368,102505
47003,2020,35583,97854
47003,2020,8663,75261
47009,2020,4977,693974
47009,2020,9846,384739
47009,2020,12368,317863
47009,2020,21227,315276
47009,2020,58463,155477
47011,2020,4977,338688
47011,2020,9846,302221
47011,2020,26955,274858
47011,2020,12368,273645
47011,2020,4972,262408
47021,2020,58366,201803
47021,2020,35583,156793
47021,2020,4382,122040
47021,2020,6548,107012
47037,2020,3510,11042647
47037,2020,35583,10452141
47037,2020,12368,6735669
47037,2020,9846,5577966
47037,2020,4977,3463671
47043,2020,29782,323679
47043,2020,35417,235372
47043,2020,17327,225028
47043,2020,35583,80148
47043,2020,6548,78230
47065,2020,4977,2772905
47065,2020,9846,1978657
47065,2020,12368,1414736
47065,2020,35583,1287020
47065,2020,3510,643690
47093,2020,9846,2917785
47093,2020,4977,2864400
47093,2020,35583,1874697
47093,2020,12368,1644121
47093,2020,29683,1633737
47149,2020,35583,1330556
47149,2020,12368,646030
47149,2020,4977,617301
47149,2020,9846,589891
47149,2020,3510,548163
47157,2020,4977,14127287
47157,2020,12368,4387600
47157,2020,9846,2192119
47157,2020,3510,1628762
47157,2020,35583,1225858
47165,2020,4977,862814
47165,2020,22451,551015
47165,2020,12368,466914
47165,2020,3510,360151
47165,2020,1696,324544
47167,2020,57416,130576
47167,2020,11813,120347
47167,2020,22020,112345
47167,2020,4972,110062
47167,2020,12368,104143
47187,2020,58714,2598075
47187,2020,3510,1369706
47187,2020,12368,1138810
47187,2020,35583,1074690
47187,2020,4977,841234
47189,2020,26962,1427027
47189,2020,35583,431871
47189,2020,58208,336514
47189,2020,4977,210642
47189,2020,12368,208432
48113,2020,3510,106786298
48113,2020,628,57867750
48113,2020,34383,24002740
48113,2020,3511,9652558
48113,2020,29209,7313473
51013,2020,30746,44137324
51013,2020,58119,2925057
51013,2020,9846,1837686
51013,2020,3510,1737357
51013,2020,3511,1388089
51019,2020,3511,259484
51019,2020,34589,240471
51019,2020,58563,213568
51019,2020,9846,190734
51019,2020,35207,165759
51059,2020,4297,31763387
51059,2020,3511,12410711
51059,2020,9846,9527935
51059,2020,3510,7730258
51059,2020,22858,3667631
51067,2020,9846,466380
51067,2020,58596,285012
51067,2020,6837,213173
51067,2020,34589,44610
51067,2020,6137,34295
51107,2020,9846,1673999
51107,2020,3510,1262156
51107,2020,3511,1207684
51107,2020,4297,919346
51107,2020,34589,820310
51161,2020,35583,595866
51161,2020,9846,530450
51161,2020,3511,273537
51161,2020,34589,187151
51161,2020,6837,170661
51680,2020,9846,716834
51680,2020,3511,674357
51680,2020,3510,330489
51680,2020,35207,307647
51680,2020,58596,78356
51770,2020,3511,1606471
51770,2020,9846,1109365
51770,2020,6837,186846
51770,2020,11063,156668
51770,2020,34589,96672
51775,2020,9846,333022
51775,2020,3511,194538
51775,2020,34589,132141
51775,2020,35583,99163
51775,2020,6837,52628
01001,2025,58255,223366
01001,2025,12368,164562
01001,2025,4988,157020
01001,2025,57124,85808
01001,2025,3511,71367
01003,2025,12368,1440567
01003,2025,6384,701954
01003,2025,3511,552385
01003,2025,4977,453937
01003,2025,11241,425942
01031,2025,873,308270
01031,2025,16369,179049
01031,2025,3511,161901
01031,2025,58255,151417
01031,2025,5598,143179
01045,2025,3511,127931
01045,2025,873,113704
01045,2025,17975,107551
01045,2025,21292,58467
01045,2025,2828,18557
01069,2025,57993,922575
01069,2025,12368,539820
01069,2025,3511,414695
01069,2025,2777,313259
01069,2025,873,189383
01073,2025,12368,14444966
01073,2025,6384,5800110
01073,2025,57993,4506123
01073,2025,3511,3278534
01073,2025,873,3043616
01083,2025,15572,334380
01083,2025,12368,293949
01083,2025,4988,239690
01083,2025,16604,181658
01083,2025,6384,136585
01089,2025,12368,2426028
01089,2025,57993,1274686
01089,2025,873,987262
01089,2025,33555,702799
01089,2025,3511,691743
01097,2025,12368,3145108
01097,2025,12441,1541397
01097,2025,6384,1344065
01097,2025,3511,699708
01097,2025,57993,655591
01101,2025,12368,1675440
01101,2025,57993,1391466
01101,2025,873,842150
01101,2025,58255,743733
01101,2025,3511,715720
01103,2025,12437,671137
01103,2025,12368,538117
01103,2025,16604,302944
01103,2025,22537,269055
01103,2025,6384,240913
01113,2025,873,349573
01113,2025,41,300783
01113,2025,3511,126050
01113,2025,12368,117240
01113,2025,9846,44479
01117,2025,12368,1561387
01117,2025,72,616354
01117,2025,3511,549477
01117,2025,12437,404026
01117,2025,6384,260664
01125,2025,57997,896336
01125,2025,12368,739733
01125,2025,873,553313
01125,2025,58463,496386
01125,2025,11813,373315
01127,2025,873,470165
01127,2025,29548,264270
01127,2025,3511,88017
01127,2025,57640,87759
01127,2025,6384,86743
06059,2025,628,29787624
06059,2025,3511,27937129
06059,2025,3510,26419369
06059,2025,6548,9480589
06059,2025,7213,8287000
12009,2025,3511,2101205
12009,2025,3510,1997993
12009,2025,9846,1852430
12009,2025,628,1832642
12009,2025,18409,1071545
12011,2025,3510,16203369
12011,2025,628,9876222
12011,2025,3511,9489060
12011,2025,9846,9156017
12011,2025,7213,3760000
12015,2025,3511,1195348
12015,2025,3510,901658
12015,2025,8021,842021
12015,2025,9846,749985
12015,2025,110,464695
12021,2025,6672,2832618
12021,2025,3510,2617924
12021,2025,3511,1828702
12021,2025,628,1763480
12021,2025,4977,1469162
12031,2025,3510,60681083
12031,2025,34775,29080232
12031,2025,9846,5043484
12031,2025,3511,3988543
12031,2025,20504,1383514
12033,2025,12368,981928
12033,2025,873,882540
12033,2025,3510,749076
12033,2025,12441,729490
12033,2025,57993,644458
12051,2025,9620,453273
12051,2025,131,107220
12051,2025,873,99853
12057,2025,9846,7008082
12057,2025,3510,6859531
12057,2025,3511,6531589
12057,2025,628,3774238
12057,2025,12368,2770239
12061,2025,6384,901605
12061,2025,3511,898456
12061,2025,3510,785666
12061,2025,628,536117
12061,2025,131,500762
12071,2025,3511,3175095
12071,2025,3510,2907304
12071,2025,9846,2386391
12071,2025,6672,2024825
12071,2025,628,1958575
12073,2025,9622,1330103
12073,2025,3510,1201523
12073,2025,9846,925364
12073,2025,3511,833742
12073,2025,58694,709921
12081,2025,3510,2362040
12081,2025,628,1255675
12081,2025,3511,1228868
12081,2025,9846,1183496
12081,2025,20504,856833
12085,2025,131,2404867
12085,2025,3510,1056750
12085,2025,3511,955194
12085,2025,628,671771
12085,2025,33555,605825
12086,2025,3510,26961807
12086,2025,628,22252909
12086,2025,3511,18946880
12086,2025,20234,18291817
12086,2025,58979,17595989
12089,2025,31313,351117
12089,2025,3511,333113
12089,2025,21784,189110
12089,2025,3510,171546
12089,2025,873,156554
12091,2025,873,806525
12091,2025,12368,631298
12091,2025,3510,553585
12091,2025,12441,532244
12091,2025,17580,461294
12095,2025,9846,8628767
12095,2025,3510,7802304
12095,2025,628,6262153
12095,2025,3511,6096555
12095,2025,12368,1918193
12099,2025,3510,10632916
12099,2025,628,9605497
12099,2025,3511,9006807
12099,2025,6384,7085705
12099,2025,18409,4481627
12101,2025,9846,1576558
12101,2025,3511,1576385
12101,2025,3510,1500225
12101,2025,628,1136393
12101,2025,11241,570221
12103,2025,33893,38355667
12103,2025,3510,5374454
12103,2025,3511,4156226
12103,2025,12368,3927577
12103,2025,9846,3780052
12109,2025,3510,1839071
12109,2025,3511,1205229
12109,2025,628,801046
12109,2025,20504,716483
12109,2025,9846,556934
12111,2025,18409,910256
12111,2025,131,850564
12111,2025,6384,821409
12111,2025,3510,723467
12111,2025,628,701020
12113,2025,12368,627160
12113,2025,12441,205732
12113,2025,873,204376
12113,2025,58,190046
12113,2025,9846,151748
12115,2025,3510,2818419
12115,2025,628,2312497
